word1-translated	word2-translated	conc(w2)
ٹانگ	بازو	4.96
ہوائی جہاز	جیٹ	4.77
عورت	آدمی	4.79
گھوڑے	کالٹ	4.96
اداکارہ	اداکار	4.57
استاد	انسٹرکٹر	4.26
فلم	فلم	4.71
پرندہ	ہاک	4.93
لفظ	لغت	4.62
پیسہ	تنخواہ	3.69
کتا	کیٹ	4.86
رقبہ	خطے	3.19
بحریہ	فوج	4.7
کتاب	ادب	4.1
کپڑے	الماری	4.83
غروب آفتاب	طلوع آفتاب	4.69
بچہ	بالغ	4.4
گائے	مویشیوں	4.64
کتاب	کہانی	3.3
موسم سرما	موسم گرما	3.64
ٹیکسی	ٹیکسی	4.88
درخت	میپل	4.46
بستر	بیڈروم	4.9
چھت	چھت	4.85
بیماری	انفیکشن	4.1
بازو	کندھے	4.93
بھیڑ	میمنے	4.97
خاتون	سلیمان	3.57
کشتی	لنگر	4.77
پادری	بندر	4.35
پیر	انگلی	5.0
دریا	ندی	4.5
غصہ	غصہ	2.89
تاریخ	کیلنڈر	4.62
سمندر	سمندر	4.86
دوسرا	منٹ	3.04
ہاتھ	انگوٹھے	4.96
لکڑی	لاگ ان	4.96
مٹی	گندگی	4.86
دالان	راہداری	4.72
راستہ	انداز	1.62
ماؤس	کیٹ	4.86
پولیس	شیرف	4.5
موت	دفن	3.93
موسیقی	مہودی	3.71
بیئر	شراب	4.76
منہ	ہپ	4.96
طوفان	طوفان	4.59
ٹیکس	آمدنی	3.07
پھول	وایلیٹ	4.48
کاغذ	گتے	4.9
فرش	چھت	4.85
ساحل سمندر	سمندر	4.63
چھڑی	پردے	4.82
ہاؤنڈ	لومڑی	4.97
سڑک	گلی	4.82
کشتی	ڈیک	4.77
کار	سینگ	5.0
دوست	مہمان	3.83
آجر	ملازم	4.1
ہاتھ	کلائی	4.93
گیند	تپ	4.79
شراب	برینڈی	4.81
فتح	فتح	2.17
ٹیلی فون	بوٹ	4.42
دروازہ	راہ گزر	4.75
موٹل	سرائے	4.64
کپڑے	کپڑا	4.9
سٹیک	گوشت	4.9
کیل	انگوٹھے	4.96
بینڈ	آرکسٹرا	4.79
کتاب	بائبل	4.61
کاروبار	صنعت	3.29
موسم سرما	موسم	3.32
دہائی	صدی	2.83
شراب	گن	4.46
ٹوپی	کوٹ	4.97
ونڈو	دروازہ	4.81
بازو	کلائی	4.93
گھر	اپارٹمنٹ	4.9
گلاس	کرسٹل	4.58
شراب	برینڈی	4.81
خالق	بنانے والا	3.9
رات کا کھانا	ناشتہ	4.43
بازو	پٹھوں	4.5
بلبلا	سوڈ	4.59
روٹی	آٹا	4.97
موت	سانحہ	2.07
عدم موجودگی	موجودگی	2.72
بندوق	تپ	4.79
گھاس	بلیڈ	4.93
گیند	ٹوکری	5.0
نلی	باغ	4.73
لڑکا	بچہ	4.56
چرچ	کوائر	4.34
کپڑے	دراج	4.67
ٹاور	گھنٹی	4.96
باپ	والدین	4.56
اسکول	گریڈ	3.0
والدین	بالغ	4.4
بار	جیل	4.83
کار	ہائی وے	4.72
لغت	تعریف	3.07
دروازہ	سیلار	4.68
فوج	بڑا لشکر	2.69
دھاتی	ایلومینیم	4.88
کرسی	بینچ	4.87
بادل	دھند	4.66
لڑکا	بیٹا	4.14
پانی	برف	4.89
بستر	کمبل	5.0
اٹارنی	وکیل	4.7
رقبہ	زون	3.07
کاروبار	کمپنی	4.11
کپڑے	کپڑے	4.63
سویٹر	جیکٹ	4.86
پیسہ	دارالحکومت	4.1
ہاتھ	پاؤں	4.9
شراب	کاکلا	4.4
یارڈ	انچ	4.37
انو	ایٹم	3.34
لینس	کیمرے	5.0
کھانا	رات کا کھانا	4.5
آنکھ	آنسو	4.56
خدا	شیطان	3.41
لوپ	بیلٹ	4.9
چوہا	ماؤس	4.83
موٹر	انجن	4.86
کار	ٹیکسی	4.88
کیٹ	شیر	4.96
سائز	شدت	2.43
حقیقت	تصور	1.59
دروازہ	دروازہ	4.96
کیٹ	پالتو جانور	4.71
ٹن	ایلومینیم	4.88
ہڈی	جبڑے	4.87
اناج	گندم	4.89
گھر	کلیدی	4.89
خون	گوشت	4.59
دروازہ	راہداری	4.72
خدا	روح	1.6
صلاحیت	صلاحیت	1.78
کثرت	کافی	2.39
سوفا	کرسی	4.58
دیوار	اینٹوں	4.83
سینگ	ڈھول	4.96
عضو	جگر	4.68
طاقت	شاید	2.32
جملہ	لفظ	3.56
بینڈ	پریڈ	4.54
پیٹ	کمر	4.72
بادل	طوفان	4.7
خوشی	فخر	1.66
شور	گھبراہٹ	4.07
بارش	دوبد	4.51
بیئر	مشروبات	4.6
آدمی	چاچا	4.24
سیب	رس	4.89
انٹیلی جنس	منطق	1.72
مواصلات	زبان	2.35
منک	فر	4.69
موک	بھیڑ	4.52
ساحل	ساحل	4.21
تار	ہڈی	4.63
پرندہ	ترکی	4.89
بستر	کیڑے	4.86
صلاحیت	صلاحیت	1.81
بادل	بھولبلییا	4.04
کھانا	کھانا	4.62
بار	پنجرا	5.0
پانی	نمک	4.89
احساس	انضمام	1.67
صورت حال	حالت	2.15
جرم	چوری	2.93
انداز	فیشن	3.43
حد	سرحد	4.29
بازو	جسم	4.79
کشتی	کار	4.89
سینڈوچ	دوپہر کا کھانا	4.31
دلہن	شہزادی	4.72
نایکا	ہیرو	3.07
کار	گیج	4.0
کیڑے	مکھی	4.88
کٹیا	جھولا	4.93
جانور	شخص	4.72
ماریجوانا	جڑی بوٹی	4.57
بستر	ہسپتال	4.64
گال	زبان	4.93
ڈسک	کمپیوٹر	4.93
وکر	زاویہ	3.5
گھاس	ماں	4.9
اسکول	قانون	2.57
پاؤں	سر	4.75
ماں	سرپرست	3.28
آرتھوڈونٹسٹ	دانتوں کا ڈاکٹر	4.93
شراب	شراب	4.74
منہ	دانت	4.89
ناشتہ	بیکن	4.9
باتھ روم	بیڈروم	4.9
پلیٹ	کٹورا	4.87
گوشت	بیکن	4.9
ہوا	ہیلیم	3.96
کارکن	آجر	3.81
جسم	سینے	4.93
بیٹا	باپ	4.52
دل	سرجری	4.34
عورت	سیکرٹری	4.54
آدمی	باپ	4.52
ساحل سمندر	جزیرہ	4.96
کہانی	موضوع	2.59
کھیل	مزہ	1.97
ہفتے کے آخر	ہفتے	3.48
جوڑے	جوڑی	3.88
عورت	بیوی	4.13
بھیڑ	مویشیوں	4.64
پرس	بیگ	4.9
چھت	گرجا گھر	4.86
بین	کافی	4.81
لکڑی	کاغذ	4.93
اوپر	طرف	3.68
جرم	دھوکہ	1.68
درد	نقصان	2.62
عاشق	ساتھی	3.75
شام	دوپہر	4.24
باپ	بیٹی	4.79
شراب	شراب	4.73
گائے	بکری	5.0
یقین	رائے	1.93
حقیقت	برم	2.48
معاہدہ	معاہدہ	2.22
دولت	غربت	2.54
حادثہ	ایمرجنسی	2.41
جنگ	فتح	2.54
دوست	استاد	4.52
بیماری	انفیکشن	4.1
کھیل	چال	3.36
بھائی	بیٹا	4.14
چاچی	بھتیجے	4.48
کارکن	میکینک	4.38
ڈاکٹر	آرتھوڈونٹسٹ	4.43
اوک	میپل	4.46
مکھی	ملکہ	4.45
کار	سائیکل	4.89
مقصد	تلاش	2.87
اگست	مہینے	4.2
فوج	ٹیم	3.65
بادل	موسم	3.83
ڈاکٹر	ڈاکٹر	4.69
کینیا	وادی	4.72
دریا	وادی	4.72
سورج	آسمان	4.45
ہدف	تیر	4.97
چاکلیٹ	پائی	4.92
حالات	صورت حال	2.03
رائے	انتخاب	1.9
تال	مہودی	3.71
گٹ	اعصابی	3.89
دن	ڈان کی	4.46
مویشیوں	گوشت	4.74
ڈاکٹر	پروفیسر	4.86
بازو	رگ	4.63
کمرے	غسل	4.85
کارپوریشن	کاروبار	3.28
مزہ	فٹ بال	4.73
پہاڑی	کلف	4.71
ہڈی	ٹخن	4.81
سیب	کینڈی	4.83
مددگار	نوکرانی	4.64
رہنما	مینیجر	4.14
لیموں	چائے	4.69
مکھی	اینٹی	4.86
باسکٹ بال	بیس بال	4.86
چاول	بین	5.0
بستر	فرنیچر	4.89
جذبات	جذبہ	2.3
انتشار	افراتفری	2.79
جرم	خلاف ورزی	2.67
مشین	انجن	4.86
ساحل سمندر	سمندر	4.79
گلی	کٹورا	4.87
جار	بوتل	4.91
طاقت	صلاحیت	1.93
بیج	سرواں	4.93
گٹار	ڈھول	4.96
رائے	خیال	1.61
شمال	مغرب	3.44
غذا	ترکاریاں	4.97
ماں	بیوی	4.13
والد صاحب	ماں	4.6
کپتان	نااخت	4.86
میٹر	یارڈ	4.82
بیئر	شیمپین	4.82
موٹر	کشتی	4.93
کارڈ	پل	4.97
سائنس	نفسیات	2.31
گنہگار	سنت	3.45
تباہی	تعمیراتی	3.72
بھیڑ	گروپ	3.5
ساحل سمندر	ریف	4.7
آدمی	بچہ	4.78
روٹی	پنیر	4.7
چیمپئن	فاتح	3.21
جشن	تقریب	3.57
مینو	آرڈر	2.79
بادشاہ	شہزادی	4.72
دولت	وقار	1.61
برداشت	طاقت	2.96
خطرہ	خطرہ	2.52
خدا	پادری	4.77
مردوں	برادری	2.46
دوست	ساتھی	3.75
استاد	مددگار	3.39
جسم	پیٹ	4.89
زبان	حلق	4.97
گھر	قالین	4.96
انٹیلی جنس	مہارت	2.17
سفر	فتح	2.54
خدا	شکار	3.61
بھائی	روح	1.86
مخالف	مخالف	3.52
موت	تباہی	2.96
راکشس	راکشس	3.32
دن	صبح	3.44
آدمی	فاتح	2.88
دوست	لڑکے	4.68
نغمہ	کہانی	3.3
کرن	دھوپ	4.21
لڑکے	جڑنا	4.0
چکن	چاول	4.86
ڈبہ	لفٹ	4.79
مکھن	آلو	4.85
اپارٹمنٹ	فرنیچر	4.89
جھیل	دلدل	4.96
ترکاریاں	سرکہ	4.89
پھول	بلب	4.93
بادل	دوبد	4.51
ڈرائیور	پائلٹ	4.67
شکر	شہد	4.88
جسم	کندھے	4.93
خیال	تصویر	3.85
باپ	بھائی	4.43
چاند	سیارے	4.58
گیند	کپڑے	4.57
ریل	باڑ	4.82
کمرے	بستر	5.0
پھول	بش	4.9
ہڈی	گھٹنے	5.0
بازو	گھٹنے	5.0
نیچے	طرف	3.68
برتن	رگ	4.63
کیٹ	خرگوش	4.93
گوشت	سینڈوچ	4.9
یقین	تصور	1.41
انٹیلی جنس	بصیرت	1.72
توجہ	دلچسپی	1.8
رویہ	اعتماد	2.17
دائیں	انصاف	1.45
دلیل	معاہدہ	2.22
گہرائی	شدت	2.43
درمیانی	خبریں	3.41
فاتح	امیدوار	3.81
سالگرہ	تاریخ	3.9
فیس	ادائیگی	3.91
بائبل	حمد	4.04
باہر نکلیں	دروازے	4.75
آدمی	بھیجا	4.04
گلیارے	ہال	4.67
شراب	گن	4.46
خون	میرو	4.48
تیل	منک	4.58
فرش	ڈیک	4.77
چھت	فرش	4.8
دروازہ	فرش	4.8
کندھے	سر	4.75
وگن	گاڑی	4.86
کار	گاڑی	4.86
کہنی	ٹخن	4.81
دولت	شہرت	1.96
غم	شرمندگی	2.24
انتظامیہ	انتظام	2.72
مواصلات	بات چیت	3.28
آلودگی	ماحول	3.04
اناتومی	حیاتیات	3.48
کالج	پیشہ	2.83
کتاب	موضوع	2.59
فارمولہ	مساوات	3.65
کتاب	معلومات	2.87
لڑکا	شراکت دار	3.53
آسمان	کائنات	3.85
آبادی	لوگ	4.82
کالج	کلاس	3.85
چیف	میئر	4.37
ربیبی	وزیر	4.22
میٹر	انچ	4.37
پالئیےسٹر	کپاس	4.97
وکیل	بینکر	4.43
وایلن	آلے	4.27
کیمپ	کیبن	4.92
برتن	آلات	4.57
کپڑے	کپڑے	4.63
شراب	شیمپین	4.82
لڑکی	بچہ	4.78
کاٹیج	کیبن	4.92
پرندہ	ین	4.9
ریکیٹ	شور	3.52
غروب آفتاب	شام	3.26
بہاؤ	بارش	4.97
بالغ	بچه	5.0
چارکول	کوئلہ	4.66
جسم	ریڑھائی	4.88
سر	کیل	4.93
لاگ ان	لکڑی	4.9
چمچ	کپ	5.0
جسم	اعصابی	3.89
آدمی	شوہر	4.11
ہڈی	گردن	5.0
مایوسی	غصہ	2.41
دریا	سمندر	4.79
کام	ملازمت	3.19
کلب	سماج	2.54
عکس	تصویر	3.85
شہزادہ	بادشاہ	4.1
برف	موسم	3.83
لوگ	پارٹی	3.89
لڑکا	بھائی	4.43
جڑ	گھاس	4.93
برو	آنکھ	4.9
پیسہ	موتی	4.87
پیسہ	ہیرے	4.89
گاڑی	بس	4.9
ٹیکسی	بس	4.9
گھر	بنو	4.79
انگلی	کھجور	4.83
کار	پل	4.97
کوشش	مشکل	1.9
حقیقت	بصیرت	1.72
ملازمت	انتظام	2.72
کینسر	بیماری	3.45
لفظ	اخبار	4.82
موسیقار	مصنف	4.32
اداکار	گلوکار	4.62
پناہ گاہ	ہٹ	4.65
باتھ روم	باورچی خانه	4.97
کیبن	ہٹ	4.65
دروازہ	باورچی خانه	4.97
قدر	یقین	1.19
حکمت	انٹیلی جنس	2.24
جہالت	انٹیلی جنس	2.24
خوشی	قسمت	1.33
خیال	سکیم	2.41
موڈ	جذبات	2.44
خوشی	امن	1.62
نا امید	مصیبت	2.04
منطق	ریاضی	2.74
انکار	اقرار	2.4
دلیل	تنقید	2.07
جارحیت	دشمنیت	2.24
ہیسٹریا	الجھن	2.24
کیمسٹری	نظریہ	1.47
آزمائش	فیصلے	2.19
آرام	حفاظت	2.37
اعتماد	خود	3.1
اولین مقصد	خیال	2.0
دور	دہائی	3.19
جیونی	فکشن	2.14
بحث	دلیل	2.85
کوڈ	علامت	3.11
خطرہ	بیماری	3.45
حادثہ	تباہی	2.96
سفر	سفر	3.71
سرگرمی	تحریک	3.63
گپ شپ	خبریں	3.41
باپ	خدا	2.07
عمل	کورس	3.82
بخار	بیماری	3.54
ایوی ایشن	پرواز	3.9
کھیل	عمل	2.86
انو	ہوا	4.11
گھر	حالت	3.52
لفظ	ادب	4.1
بالغ	سرپرست	3.28
اخبار	معلومات	2.87
مواصلات	ٹیلی ویژن	4.83
کزن	چاچا	4.24
مصنف	ریڈر	3.89
لڑکے	شراکت دار	3.53
رقبہ	کونے	4.61
بلڈاد	نغمہ	4.46
دیوار	سجاوٹ	3.53
لفظ	صفحہ	4.9
نرس	سائنسدان	4.24
سیاست دان	صدر	4.4
صدر	میئر	4.37
کتاب	مضمون نویسی	3.97
آدمی	جنگجو	4.17
مضمون	جرنل	4.63
ناشتہ	کھانا	4.63
بھیڑ	پریڈ	4.54
گلیارے	دالان	4.74
استاد	ربیبی	4.64
ہپ	ہپ	4.96
کتاب	مضمون	4.33
کمرے	سیل	4.44
ڈبہ	بوٹ	4.42
بیٹی	بچہ	4.56
انگلی	ٹانگ	4.83
جگر	پھیپھڑوں	4.82
کلاس روم	دالان	4.74
پہاڑ	قیادت	4.72
کار	لفٹ	4.79
بستر	سوفی	4.71
کپڑے	بٹن	4.96
کپڑے	کوٹ	4.97
گردہ	عضو	4.77
سیب	چٹنی	4.75
چکن	سٹیک	4.96
کار	نلی	4.87
تمباکو	سگریٹ	4.88
طالب علم	پروفیسر	4.86
بچه	بیٹی	4.79
پائپ	سگریٹ	4.93
دودھ	رس	4.89
ڈبہ	سگریٹ	4.93
اپارٹمنٹ	ہوٹل	4.93
کپ	شنک	4.86
گھوڑے	بیل	4.86
حلق	ناک	4.89
ہڈی	دانت	4.96
ہڈی	کہنی	5.0
بیکن	بین	5.0
کپ	جار	5.0
ثبوت	حقیقت	2.72
تقرری	مصروفیت	2.75
سالگرہ	سال	3.25
لفظ	اشارہ	2.93
مصنف	خالق	3.07
ایٹم	کاربن	4.22
آرکائشی	بش	4.21
خط	پیراگراف	3.96
صفحہ	پیراگراف	3.96
کھڑی	چیپل	4.6
پٹھوں	ہڈی	4.9
پٹھوں	زبان	4.93
لڑکا	فوجی	4.72
پیٹ	پیٹ	4.7
لڑکے	لڑکی	4.85
بستر	کرسی	4.58
کپڑے	جیکٹ	4.86
بندوق	چاقو	4.9
ٹن	دھاتی	4.87
بوتل	کنٹینر	4.85
ین	ترکی	4.89
گوشت	روٹی	4.92
بازو	ہڈی	4.9
گردن	ریڑھائی	4.88
سیب	لیموں	5.0
پریشانی	غم	2.7
تفویض	کام	2.84
رات	ڈان کی	4.46
رات کا کھانا	سوپ	4.72
بچہ	بیل	4.85
برف	طوفان	4.7
کیل	ہاتھ	4.72
کتا	گھوڑے	5.0
بازو	گردن	5.0
گیند	دستانے	4.97
فلو	بخار	3.27
فیس	تنخواہ	3.69
اعصابی	دماغ	4.69
جانور	جانور	4.61
رات کا کھانا	چکن	4.8
لڑکی	نوکرانی	4.64
بچہ	لڑکا	4.76
شراب	شراب	4.79
ناک	منہ	4.74
سڑک	کار	4.89
گھنٹی	دروازہ	4.81
ڈبہ	ٹوپی	4.88
یقین	تاثر	2.23
تعصب	رائے	1.93
توجہ	شعور	1.84
غصہ	موڈ	1.75
خوبصورتی	انداز	2.67
خوبصورتی	عمر	2.86
کتاب	خیالیہ	2.72
دوست	ماں	4.6
وٹامن	لوہے	4.59
کار	فیکٹری	4.76
معاہدہ	حالت	2.15
باب	انتخاب	1.9
ریاضی	تال	3.07
فاتح	موجودگی	2.72
یقین	پھول	5.0
فاتح	مقصد	3.06
چال	سائز	3.13
انتخاب	رگ	4.63
حمد	فتح	2.54
برداشت	بینڈ	4.68
جیل	انتخاب	1.9
حالت	لڑکا	4.76
پھول	برداشت	2.0
سوراخ	معاہدہ	2.22
ڈاکٹر	مزاج	2.56
برادری	دروازہ	4.81
کام	عورت	4.46
برادری	بیس بال	4.86
سینٹ	سائز	3.13
موجودگی	دروازہ	4.81
ماؤس	انتظام	2.72
کام	ہائی وے	4.72
شراب	صدی	2.83
کام	اسٹرک	4.77
جزیرہ	کام	2.84
رات	باب	3.43
آلودگی	صدر	4.4
بندوق	چال	3.36
غسل	چال	3.36
غذا	سیب	5.0
سینٹ	بیوی	4.13
باب	دم	4.96
کورس	پیٹ	4.89
حمد	اسٹرک	4.77
دانتوں کا ڈاکٹر	کالونی	3.89
بیوی	اسٹرک	4.77
سوراخ	بیوی	4.13
طالب علم	صدر	4.4
غسل	بیوی	4.13
لوگ	سینٹ	4.19
فارمولہ	لاگ ان	4.96
عورت	فر	4.69
سیب	دھوپ	4.21
بندوق	ڈان کی	4.46
کھانا	کمر	4.72
کیمرے	صدر	4.4
شراب	بینڈ	4.68
پیٹ	رگ	4.63
بندوق	فر	4.69
سوفی	بیس بال	4.86
کارکن	کیمرے	5.0
ڈیک	ماؤس	4.83
چاول	لڑکا	4.76
لوگ	بندوق	4.83
کلف	دم	4.96
ٹخن	ونڈو	4.86
شہزادی	جزیرہ	4.96
کنٹینر	ماؤس	4.83
وگن	کنٹینر	4.85
لوگ	بیلون	4.92
ڈالر	لوگ	4.82
غسل	بیلون	4.92
پیٹ	بیڈروم	4.9
سائیکل	بیڈروم	4.9
لاگ ان	غسل	4.85
کٹورا	دم	4.96
جاؤ	آو	2.72
لے لو	چوری	3.84
سننا	سننا	3.66
سوچنا	منطقی	1.52
واقع	ہو	1.78
غائب	غائب ہو	2.86
ضرب	تقسیم	2.86
درخواست	بھگوان	2.96
شروع	ابتداء	2.23
حفاظت	دفاع	2.31
قتل کرو	تباہ	3.08
بنانا	بناؤ	2.67
قبول	رد	2.4
نظر انداز	پرہیز	2.41
لے لو	لانے	2.55
چھوڑ	درج	3.12
منتخب	چننا	2.41
کھو	ناکام	3.0
حوصلہ افزائی	دل شکستہ	1.9
حاصل	پورا	2.33
بناؤ	تعمیر	2.6
سننا	اطاعت	2.67
مطلع	مطلع	3.04
وصول	دے	2.83
قرض	مانگنا	2.96
لے لو	حاصل	3.0
مشورہ	تجویز	1.74
نقل	بیان	2.18
جیت	کامیاب	2.33
سوچنا	فیصلہ	1.92
سلام	ملیں	3.0
متفق	بحث	2.75
لطف اندوز	تفریح	2.55
تباہ	بناؤ	2.67
بچاؤ	حفاظت	2.86
دے دو	قرض دو	3.07
سمجھو	پتہ	1.68
لے لو	وصول کریں	2.69
قبول کرو	تسلیم کرتے ہیں	2.03
فیصلہ کرنا	منتخب کریں	2.62
قبول کرو	یقین	1.55
رکھو	مالک	2.6
روام	گھومنا	2.28
کامیاب	ناکام	3.0
خرچ کرو	بچاؤ	2.42
چھوڑ دو	جاؤ	3.15
آو	حاضری	3.17
پتہ	یقین	1.55
جمع	ملیں	3.0
بناؤ	کماتے	2.39
بھول جاؤ	نظر انداز	2.22
ضرب	شامل	3.0
سکڑیں	بڑھو	3.03
آو	چھوڑ دو	2.53
کامیاب	کوشش	2.22
قبول کرو	انکار	2.2
آو	آو	2.72
متفق ہوں	مختلف	1.59
بھیجیں	وصول	2.69
جیت	غلبہ	2.12
شامل	تقسیم	2.86
قتل	گلا گھونٹنا	3.97
حاصل	حاصل	2.38
حصہ لیں	شامل	2.86
چھوڑ دو	رہیں	1.96
جاؤ	درج	3.12
لے لو	لے لو	4.04
بھول جاؤ	سیکھنا	2.2
مقرر کریں	چننا	2.41
مشغول	شادی کرو	3.03
پوچھو	دعا کرو	3.21
جاؤ	بھیجیں	2.7
لے لو	فراہم کرو	3.12
بات کرو	سننا	3.66
تجزیہ کریں	اندازہ	1.85
بحث کریں	منطقی	1.52
کھو	رکھو	2.37
موازنہ کریں	تجزیہ کریں	2.3
غیر منظم	منظم	2.72
جاؤ	اجازت دیں	2.41
لے لو	مالک	2.6
سیکھنا	سننا	3.47
تباہ	تعمیر	2.6
بنانا	تعمیر کرو	3.71
چوری	خریدنے	3.35
قتل کرو	پھانسی	3.7
بھول جاؤ	پتہ	1.68
بنانا	تصور	1.53
کیا	ہو	1.78
جیت	پورا	2.33
دے دو	انکار	2.2
مستحق	کماتے ہیں	2.39
حاصل کرو	ڈالیں	2.5
تلاش کریں	مل	2.63
ظاہر	حاضری	3.17
پتہ	سمجھو	1.86
دکھاؤ	تصور	1.53
مطمئن	براہ کرم	1.64
چیری	رکھو	2.37
بحث کریں	مختلف	1.59
پر قابو پانے	غلبہ	2.12
سلوک کرنا	اطاعت کرو	2.67
تعاون کریں	حصہ لیں	2.59
حاصل کریں	کوشش کریں	2.22
ناکام	ہراساں کرنا	1.9
شروع کرو	چھوڑ دو	2.56
کہہ دو	حصہ لیں	2.59
آو	لانے	2.55
اعلان کریں	اعلان کریں	3.31
پڑھو	سمجھو	1.86
لے لو	چھوڑ دو	2.53
اعلان کرو	اعلان کریں	3.31
حاصل	حاصل کریں	3.0
اختتام کریں	فیصلہ کرنا	1.92
براہ کرم	درخواست	2.59
بحث کریں	ثابت کرو	1.83
پوچھو	درخواست	2.59
مل	غائب ہو	2.86
معائنہ	جانچ پڑتال کریں	2.86
تصدیق کریں	مستحق	1.45
فرض کرو	پیش گوئی	2.0
سیکھنا	اندازہ	1.85
بحث کریں	مستحق	1.45
بناؤ	بن	1.54
دریافت	ابتداء	2.23
حاصل کریں	کامیاب	2.33
دے دو	ڈالیں	2.5
سمجھو	سننا	3.47
توسیع	بڑھو	3.03
قرض لے	فروخت	3.35
رکھو	حفاظت کرو	2.86
وضاحت کریں	ثابت کرو	1.83
فرض کرو	دکھاؤ	2.11
متفق ہوں	براہ کرم	1.64
معاف کر دو	بھول جاؤ	2.04
واضح	وضاحت کریں	1.97
سمجھو	معاف کر دو	1.92
یاد رکھیں	بھول جاؤ	2.04
حاصل کرو	رہیں	1.96
احساس	دریافت	2.37
ضرورت ہے	پوچھ گچھ	2.38
نظر انداز	پوچھو	2.52
سوچنا	پوچھ گچھ	2.38
رد کرنا	سے بچیں	2.41
بحث کریں	رضاکارانہ	2.07
پیچھا کرنا	رضاکارانہ	2.07
قبول کرو	معاف کر دو	1.92
کیا	چھوڑ دو	2.56
تحقیقات	جانچ پڑتال کریں	2.86
بحث کریں	وضاحت کریں	1.97
الوداع	قرض دو	3.07
تلاش کریں	دریافت	2.37
شکایت	بحث کریں	2.75
واپس لے لو	رد کرنا	2.4
رکھو	قرض لے	3.1
بھگوان	پوچھو	2.52
بندوبست کریں	منظم	2.72
کم	سکڑیں	3.55
بات کرو	تسلیم کرتے ہیں	2.03
دے دو	قرض لے	3.1
