word1-translated	word2-translated	conc(w1)
خدا	شیطان	2.07
لوپ	بیلٹ	4.26
چوہا	ماؤس	4.85
موٹر	انجن	4.84
کار	ٹیکسی	4.89
کیٹ	شیر	4.86
سائز	شدت	3.13
حقیقت	تصور	1.72
دروازہ	دروازہ	4.81
کیٹ	پالتو جانور	4.86
ٹن	ایلومینیم	4.87
ہڈی	جبڑے	4.9
اناج	گندم	4.83
گھر	کلیدی	5.0
خون	گوشت	4.86
دروازہ	راہداری	4.81
خدا	روح	2.07
صلاحیت	صلاحیت	1.93
کثرت	کافی	2.21
سوفا	کرسی	4.9
دیوار	اینٹوں	4.86
سینگ	ڈھول	5.0
عضو	جگر	4.77
طاقت	شاید	2.96
جملہ	لفظ	2.86
بینڈ	پریڈ	4.68
پیٹ	کمر	4.89
بادل	طوفان	4.54
خوشی	فخر	2.37
شور	گھبراہٹ	3.52
بارش	دوبد	4.97
بیئر	مشروبات	4.88
آدمی	چاچا	4.79
سیب	رس	5.0
انٹیلی جنس	منطق	2.24
مواصلات	زبان	2.9
منک	فر	4.58
موک	بھیڑ	3.88
ساحل	ساحل	4.79
تار	ہڈی	4.72
پرندہ	ترکی	5.0
بستر	کیڑے	5.0
صلاحیت	صلاحیت	1.78
بادل	بھولبلییا	4.54
کھانا	کھانا	4.63
بار	پنجرا	4.67
پانی	نمک	5.0
احساس	انضمام	2.61
صورت حال	حالت	2.03
جرم	چوری	3.03
انداز	فیشن	2.67
حد	سرحد	3.04
بازو	جسم	4.96
کشتی	کار	4.93
سینڈوچ	دوپہر کا کھانا	4.9
دلہن	شہزادی	4.63
نایکا	ہیرو	4.21
کار	گیج	4.89
کیڑے	مکھی	4.89
کٹیا	جھولا	4.86
جانور	شخص	4.61
ماریجوانا	جڑی بوٹی	4.89
بستر	ہسپتال	5.0
گال	زبان	4.83
ڈسک	کمپیوٹر	4.85
وکر	زاویہ	4.41
گھاس	ماں	4.93
اسکول	قانون	4.79
پاؤں	سر	4.9
ماں	سرپرست	4.6
آرتھوڈونٹسٹ	دانتوں کا ڈاکٹر	4.43
شراب	شراب	4.76
منہ	دانت	4.74
ناشتہ	بیکن	4.43
باتھ روم	بیڈروم	4.52
پلیٹ	کٹورا	4.77
گوشت	بیکن	4.9
ہوا	ہیلیم	4.11
کارکن	آجر	4.59
جسم	سینے	4.79
بیٹا	باپ	4.14
دل	سرجری	4.52
عورت	سیکرٹری	4.46
آدمی	باپ	4.79
ساحل سمندر	جزیرہ	4.79
کہانی	موضوع	3.3
کھیل	مزہ	4.5
ہفتے کے آخر	ہفتے	3.83
جوڑے	جوڑی	3.93
عورت	بیوی	4.46
بھیڑ	مویشیوں	4.9
پرس	بیگ	4.9
چھت	گرجا گھر	4.85
بین	کافی	5.0
لکڑی	کاغذ	4.85
اوپر	طرف	3.93
جرم	دھوکہ	3.03
درد	نقصان	3.5
عاشق	ساتھی	3.68
شام	دوپہر	3.26
باپ	بیٹی	4.52
شراب	شراب	4.79
گائے	بکری	4.96
یقین	رائے	1.19
حقیقت	برم	1.72
معاہدہ	معاہدہ	2.52
دولت	غربت	2.63
حادثہ	ایمرجنسی	3.26
جنگ	فتح	4.0
دوست	استاد	3.07
بیماری	انفیکشن	3.54
کھیل	چال	4.5
بھائی	بیٹا	4.43
چاچی	بھتیجے	4.17
کارکن	میکینک	4.59
ڈاکٹر	آرتھوڈونٹسٹ	4.69
اوک	میپل	4.82
مکھی	ملکہ	4.88
کار	سائیکل	4.89
مقصد	تلاش	3.06
اگست	مہینے	3.04
فوج	ٹیم	4.7
بادل	موسم	4.54
ڈاکٹر	ڈاکٹر	4.65
کینیا	وادی	4.81
دریا	وادی	4.89
سورج	آسمان	4.83
ہدف	تیر	4.11
چاکلیٹ	پائی	4.72
حالات	صورت حال	1.77
رائے	انتخاب	1.93
تال	مہودی	3.07
گٹ	اعصابی	4.15
دن	ڈان کی	3.92
مویشیوں	گوشت	4.64
ڈاکٹر	پروفیسر	4.69
بازو	رگ	4.96
کمرے	غسل	4.79
کارپوریشن	کاروبار	2.79
مزہ	فٹ بال	1.97
پہاڑی	کلف	4.93
ہڈی	ٹخن	4.9
سیب	کینڈی	5.0
مددگار	نوکرانی	3.39
رہنما	مینیجر	3.89
لیموں	چائے	5.0
مکھی	اینٹی	4.88
باسکٹ بال	بیس بال	4.97
چاول	بین	4.86
بستر	فرنیچر	5.0
جذبات	جذبہ	2.44
انتشار	افراتفری	2.12
جرم	خلاف ورزی	3.03
مشین	انجن	4.25
ساحل سمندر	سمندر	4.79
گلی	کٹورا	4.82
جار	بوتل	5.0
طاقت	صلاحیت	2.96
بیج	سرواں	4.71
گٹار	ڈھول	4.9
رائے	خیال	1.93
شمال	مغرب	4.14
غذا	ترکاریاں	3.21
ماں	بیوی	4.6
والد صاحب	ماں	4.29
کپتان	نااخت	4.19
میٹر	یارڈ	4.7
بیئر	شیمپین	4.88
موٹر	کشتی	4.84
کارڈ	پل	4.9
سائنس	نفسیات	2.79
گنہگار	سنت	3.07
تباہی	تعمیراتی	3.21
بھیڑ	گروپ	4.52
ساحل سمندر	ریف	4.79
آدمی	بچہ	4.79
روٹی	پنیر	4.92
چیمپئن	فاتح	3.82
جشن	تقریب	3.47
مینو	آرڈر	4.67
بادشاہ	شہزادی	4.1
دولت	وقار	2.63
برداشت	طاقت	2.0
خطرہ	خطرہ	2.68
خدا	پادری	2.07
مردوں	برادری	4.75
دوست	ساتھی	3.48
استاد	مددگار	4.52
جسم	پیٹ	4.79
زبان	حلق	4.93
گھر	قالین	5.0
انٹیلی جنس	مہارت	2.24
سفر	فتح	2.57
خدا	شکار	2.07
بھائی	روح	4.43
مخالف	مخالف	2.93
موت	تباہی	3.73
راکشس	راکشس	3.72
دن	صبح	3.92
آدمی	فاتح	4.79
دوست	لڑکے	3.07
نغمہ	کہانی	4.46
کرن	دھوپ	3.57
لڑکے	جڑنا	4.68
چکن	چاول	4.8
ڈبہ	لفٹ	4.9
مکھن	آلو	4.9
اپارٹمنٹ	فرنیچر	4.9
جھیل	دلدل	4.88
ترکاریاں	سرکہ	4.97
پھول	بلب	5.0
بادل	دوبد	4.54
ڈرائیور	پائلٹ	4.71
شکر	شہد	4.87
جسم	کندھے	4.79
خیال	تصویر	1.61
باپ	بھائی	4.52
چاند	سیارے	4.9
گیند	کپڑے	5.0
ریل	باڑ	4.9
کمرے	بستر	4.79
پھول	بش	5.0
ہڈی	گھٹنے	4.9
بازو	گھٹنے	4.96
نیچے	طرف	4.25
برتن	رگ	4.66
کیٹ	خرگوش	4.86
گوشت	سینڈوچ	4.9
یقین	تصور	1.19
انٹیلی جنس	بصیرت	2.24
توجہ	دلچسپی	2.3
رویہ	اعتماد	1.97
دائیں	انصاف	3.47
دلیل	معاہدہ	2.85
گہرائی	شدت	3.11
درمیانی	خبریں	3.0
فاتح	امیدوار	3.21
سالگرہ	تاریخ	3.2
فیس	ادائیگی	3.89
بائبل	حمد	4.61
باہر نکلیں	دروازے	3.93
آدمی	بھیجا	4.79
گلیارے	ہال	4.35
شراب	گن	4.74
خون	میرو	4.86
تیل	منک	4.93
فرش	ڈیک	4.8
چھت	فرش	4.79
دروازہ	فرش	4.81
کندھے	سر	4.93
وگن	گاڑی	4.89
کار	گاڑی	4.89
کہنی	ٹخن	5.0
دولت	شہرت	2.63
غم	شرمندگی	2.36
انتظامیہ	انتظام	2.78
مواصلات	بات چیت	2.9
آلودگی	ماحول	3.75
اناتومی	حیاتیات	3.59
کالج	پیشہ	4.62
کتاب	موضوع	4.9
فارمولہ	مساوات	4.11
کتاب	معلومات	4.9
لڑکا	شراکت دار	4.76
آسمان	کائنات	4.45
آبادی	لوگ	3.64
کالج	کلاس	4.62
چیف	میئر	4.26
ربیبی	وزیر	4.64
میٹر	انچ	4.7
پالئیےسٹر	کپاس	4.12
وکیل	بینکر	4.7
وایلن	آلے	4.96
کیمپ	کیبن	4.35
برتن	آلات	4.81
کپڑے	کپڑے	4.8
شراب	شیمپین	4.74
لڑکی	بچہ	4.85
کاٹیج	کیبن	4.85
پرندہ	ین	5.0
ریکیٹ	شور	4.26
غروب آفتاب	شام	4.54
بہاؤ	بارش	4.21
بالغ	بچه	4.4
چارکول	کوئلہ	4.85
جسم	ریڑھائی	4.79
سر	کیل	4.75
لاگ ان	لکڑی	4.96
چمچ	کپ	4.96
جسم	اعصابی	4.79
آدمی	شوہر	4.79
ہڈی	گردن	4.9
مایوسی	غصہ	2.06
دریا	سمندر	4.89
کام	ملازمت	2.84
کلب	سماج	3.78
عکس	تصویر	3.29
شہزادہ	بادشاہ	4.44
برف	موسم	4.85
لوگ	پارٹی	4.82
لڑکا	بھائی	4.76
جڑ	گھاس	4.34
برو	آنکھ	4.39
پیسہ	موتی	4.54
پیسہ	ہیرے	4.54
گاڑی	بس	4.64
ٹیکسی	بس	4.88
گھر	بنو	5.0
انگلی	کھجور	5.0
کار	پل	4.89
کوشش	مشکل	2.33
حقیقت	بصیرت	2.72
ملازمت	انتظام	3.19
کینسر	بیماری	3.86
لفظ	اخبار	3.56
موسیقار	مصنف	4.37
اداکار	گلوکار	4.57
پناہ گاہ	ہٹ	4.64
باتھ روم	باورچی خانه	4.52
کیبن	ہٹ	4.92
دروازہ	باورچی خانه	4.81
قدر	یقین	1.62
حکمت	انٹیلی جنس	1.53
جہالت	انٹیلی جنس	1.6
خوشی	قسمت	2.6
خیال	سکیم	1.61
موڈ	جذبات	1.75
خوشی	امن	2.6
نا امید	مصیبت	2.21
منطق	ریاضی	1.72
انکار	اقرار	2.46
دلیل	تنقید	2.85
جارحیت	دشمنیت	2.68
ہیسٹریا	الجھن	2.86
کیمسٹری	نظریہ	3.64
آزمائش	فیصلے	3.07
آرام	حفاظت	2.89
اعتماد	خود	2.17
اولین مقصد	خیال	3.39
دور	دہائی	2.24
جیونی	فکشن	3.39
بحث	دلیل	3.07
کوڈ	علامت	3.0
خطرہ	بیماری	2.68
حادثہ	تباہی	3.26
سفر	سفر	2.57
سرگرمی	تحریک	2.72
گپ شپ	خبریں	3.0
باپ	خدا	4.52
عمل	کورس	2.86
بخار	بیماری	3.27
ایوی ایشن	پرواز	3.39
کھیل	عمل	4.5
انو	ہوا	3.27
گھر	حالت	4.11
لفظ	ادب	3.56
بالغ	سرپرست	4.4
اخبار	معلومات	4.82
مواصلات	ٹیلی ویژن	2.9
کزن	چاچا	3.7
مصنف	ریڈر	4.26
لڑکے	شراکت دار	4.68
رقبہ	کونے	3.72
بلڈاد	نغمہ	3.88
دیوار	سجاوٹ	4.86
لفظ	صفحہ	3.56
نرس	سائنسدان	4.39
سیاست دان	صدر	4.33
صدر	میئر	4.4
کتاب	مضمون نویسی	4.9
آدمی	جنگجو	4.79
مضمون	جرنل	4.33
ناشتہ	کھانا	4.43
بھیڑ	پریڈ	4.52
گلیارے	دالان	4.35
استاد	ربیبی	4.52
ہپ	ہپ	4.21
کتاب	مضمون	4.9
کمرے	سیل	4.79
ڈبہ	بوٹ	4.9
بیٹی	بچہ	4.79
انگلی	ٹانگ	4.64
جگر	پھیپھڑوں	4.68
کلاس روم	دالان	4.76
پہاڑ	قیادت	4.96
کار	لفٹ	4.89
بستر	سوفی	5.0
کپڑے	بٹن	4.76
کپڑے	کوٹ	4.76
گردہ	عضو	4.96
سیب	چٹنی	5.0
چکن	سٹیک	4.8
کار	نلی	4.89
تمباکو	سگریٹ	4.88
طالب علم	پروفیسر	4.92
بچه	بیٹی	5.0
پائپ	سگریٹ	4.88
دودھ	رس	4.92
ڈبہ	سگریٹ	4.9
اپارٹمنٹ	ہوٹل	4.9
کپ	شنک	5.0
گھوڑے	بیل	5.0
حلق	ناک	4.97
ہڈی	دانت	4.9
ہڈی	کہنی	4.9
بیکن	بین	4.9
کپ	جار	5.0
ثبوت	حقیقت	2.67
تقرری	مصروفیت	3.0
سالگرہ	سال	3.2
لفظ	اشارہ	3.56
مصنف	خالق	4.26
ایٹم	کاربن	3.34
آرکائشی	بش	4.14
خط	پیراگراف	4.7
صفحہ	پیراگراف	4.9
کھڑی	چیپل	4.74
پٹھوں	ہڈی	4.5
پٹھوں	زبان	4.5
لڑکا	فوجی	4.76
پیٹ	پیٹ	4.8
لڑکے	لڑکی	4.68
بستر	کرسی	5.0
کپڑے	جیکٹ	4.76
بندوق	چاقو	4.83
ٹن	دھاتی	4.87
بوتل	کنٹینر	4.91
ین	ترکی	4.9
گوشت	روٹی	4.9
بازو	ہڈی	4.96
گردن	ریڑھائی	5.0
سیب	لیموں	5.0
پریشانی	غم	2.38
تفویض	کام	3.86
رات	ڈان کی	4.52
رات کا کھانا	سوپ	4.5
بچہ	بیل	4.48
برف	طوفان	4.85
کیل	ہاتھ	4.93
کتا	گھوڑے	4.85
بازو	گردن	4.96
گیند	دستانے	5.0
فلو	بخار	3.65
فیس	تنخواہ	3.89
اعصابی	دماغ	3.89
جانور	جانور	4.63
رات کا کھانا	چکن	4.5
لڑکی	نوکرانی	4.85
بچہ	لڑکا	4.78
شراب	شراب	4.76
ناک	منہ	4.89
سڑک	کار	4.75
گھنٹی	دروازہ	4.96
ڈبہ	ٹوپی	4.9
یقین	تاثر	1.19
تعصب	رائے	1.68
توجہ	شعور	2.3
غصہ	موڈ	2.41
خوبصورتی	انداز	2.18
خوبصورتی	عمر	2.93
کتاب	خیالیہ	4.9
دوست	ماں	3.07
وٹامن	لوہے	4.48
کار	فیکٹری	4.89
معاہدہ	حالت	2.52
باب	انتخاب	3.43
ریاضی	تال	2.74
فاتح	موجودگی	3.21
یقین	پھول	1.19
فاتح	مقصد	3.21
چال	سائز	3.36
انتخاب	رگ	1.9
حمد	فتح	4.04
برداشت	بینڈ	2.0
جیل	انتخاب	4.83
حالت	لڑکا	2.15
پھول	برداشت	5.0
سوراخ	معاہدہ	4.81
ڈاکٹر	مزاج	4.69
برادری	دروازہ	2.46
کام	عورت	2.84
برادری	بیس بال	2.46
سینٹ	سائز	4.19
موجودگی	دروازہ	2.72
ماؤس	انتظام	4.83
کام	ہائی وے	2.84
شراب	صدی	4.73
کام	اسٹرک	2.84
جزیرہ	کام	4.96
رات	باب	4.52
آلودگی	صدر	3.75
بندوق	چال	4.83
غسل	چال	4.85
غذا	سیب	3.21
سینٹ	بیوی	4.19
باب	دم	3.43
کورس	پیٹ	3.82
حمد	اسٹرک	4.04
دانتوں کا ڈاکٹر	کالونی	4.93
بیوی	اسٹرک	4.13
سوراخ	بیوی	4.81
طالب علم	صدر	4.55
غسل	بیوی	4.85
لوگ	سینٹ	4.82
فارمولہ	لاگ ان	4.11
عورت	فر	4.46
سیب	دھوپ	5.0
بندوق	ڈان کی	4.83
کھانا	کمر	4.62
کیمرے	صدر	5.0
شراب	بینڈ	4.73
پیٹ	رگ	4.89
بندوق	فر	4.83
سوفی	بیس بال	4.71
کارکن	کیمرے	4.59
ڈیک	ماؤس	4.77
چاول	لڑکا	4.86
لوگ	بندوق	4.82
کلف	دم	4.71
ٹخن	ونڈو	4.81
شہزادی	جزیرہ	4.72
کنٹینر	ماؤس	4.85
وگن	کنٹینر	4.89
لوگ	بیلون	4.82
ڈالر	لوگ	4.93
غسل	بیلون	4.85
پیٹ	بیڈروم	4.89
سائیکل	بیڈروم	4.89
لاگ ان	غسل	4.96
کٹورا	دم	4.87
جاؤ	آو	3.15
لے لو	چوری	3.06
سننا	سننا	3.47
سوچنا	منطقی	2.41
واقع	ہو	1.84
غائب	غائب ہو	2.77
ضرب	تقسیم	2.79
درخواست	بھگوان	2.59
شروع	ابتداء	2.56
حفاظت	دفاع	2.86
قتل کرو	تباہ	3.9
بنانا	بناؤ	2.62
قبول	رد	3.03
نظر انداز	پرہیز	2.22
لے لو	لانے	4.04
چھوڑ	درج	2.53
منتخب	چننا	2.62
کھو	ناکام	2.25
حوصلہ افزائی	دل شکستہ	2.61
حاصل	پورا	2.29
بناؤ	تعمیر	2.67
سننا	اطاعت	3.47
مطلع	مطلع	2.25
وصول	دے	2.69
قرض	مانگنا	3.1
لے لو	حاصل	3.06
مشورہ	تجویز	2.03
نقل	بیان	2.66
جیت	کامیاب	2.67
سوچنا	فیصلہ	2.41
سلام	ملیں	2.96
متفق	بحث	2.31
لطف اندوز	تفریح	2.29
تباہ	بناؤ	3.08
بچاؤ	حفاظت	2.42
دے دو	قرض دو	2.83
سمجھو	پتہ	2.28
لے لو	وصول کریں	3.06
قبول کرو	تسلیم کرتے ہیں	3.03
فیصلہ کرنا	منتخب کریں	1.92
قبول کرو	یقین	3.03
رکھو	مالک	2.37
روام	گھومنا	2.85
کامیاب	ناکام	2.33
خرچ کرو	بچاؤ	2.93
چھوڑ دو	جاؤ	2.53
آو	حاضری	2.72
پتہ	یقین	1.68
جمع	ملیں	2.75
بناؤ	کماتے	2.67
بھول جاؤ	نظر انداز	2.04
ضرب	شامل	2.79
سکڑیں	بڑھو	3.55
آو	چھوڑ دو	3.22
کامیاب	کوشش	2.33
قبول کرو	انکار	3.03
آو	آو	3.22
متفق ہوں	مختلف	2.31
بھیجیں	وصول	2.7
جیت	غلبہ	2.67
شامل	تقسیم	3.0
قتل	گلا گھونٹنا	3.9
حاصل	حاصل	2.93
حصہ لیں	شامل	2.59
چھوڑ دو	رہیں	2.53
جاؤ	درج	3.15
لے لو	لے لو	3.06
بھول جاؤ	سیکھنا	2.04
مقرر کریں	چننا	2.24
مشغول	شادی کرو	2.07
پوچھو	دعا کرو	2.52
جاؤ	بھیجیں	3.15
لے لو	فراہم کرو	3.06
بات کرو	سننا	3.7
تجزیہ کریں	اندازہ	2.3
بحث کریں	منطقی	2.75
کھو	رکھو	2.25
موازنہ کریں	تجزیہ کریں	2.52
غیر منظم	منظم	2.44
جاؤ	اجازت دیں	3.15
لے لو	مالک	3.06
سیکھنا	سننا	2.2
تباہ	تعمیر	3.08
بنانا	تعمیر کرو	2.62
چوری	خریدنے	3.84
قتل کرو	پھانسی	3.9
بھول جاؤ	پتہ	2.04
بنانا	تصور	2.62
کیا	ہو	2.46
جیت	پورا	2.67
دے دو	انکار	2.83
مستحق	کماتے ہیں	1.69
حاصل کرو	ڈالیں	2.38
تلاش کریں	مل	2.97
ظاہر	حاضری	3.13
پتہ	سمجھو	1.68
دکھاؤ	تصور	2.11
مطمئن	براہ کرم	2.04
چیری	رکھو	1.73
بحث کریں	مختلف	2.75
پر قابو پانے	غلبہ	2.28
سلوک کرنا	اطاعت کرو	1.78
تعاون کریں	حصہ لیں	1.87
حاصل کریں	کوشش کریں	2.29
ناکام	ہراساں کرنا	3.0
شروع کرو	چھوڑ دو	2.56
کہہ دو	حصہ لیں	2.58
آو	لانے	2.72
اعلان کریں	اعلان کریں	2.0
پڑھو	سمجھو	3.56
لے لو	چھوڑ دو	3.06
اعلان کرو	اعلان کریں	2.36
حاصل	حاصل کریں	2.93
اختتام کریں	فیصلہ کرنا	1.78
براہ کرم	درخواست	1.64
بحث کریں	ثابت کرو	2.75
پوچھو	درخواست	2.52
مل	غائب ہو	2.63
معائنہ	جانچ پڑتال کریں	3.31
تصدیق کریں	مستحق	2.1
فرض کرو	پیش گوئی	1.75
سیکھنا	اندازہ	2.2
بحث کریں	مستحق	2.75
بناؤ	بن	2.67
دریافت	ابتداء	2.37
حاصل کریں	کامیاب	2.29
دے دو	ڈالیں	2.83
سمجھو	سننا	2.28
توسیع	بڑھو	3.36
قرض لے	فروخت	3.1
رکھو	حفاظت کرو	2.37
وضاحت کریں	ثابت کرو	1.97
فرض کرو	دکھاؤ	1.75
متفق ہوں	براہ کرم	2.31
معاف کر دو	بھول جاؤ	1.92
واضح	وضاحت کریں	2.07
سمجھو	معاف کر دو	2.28
یاد رکھیں	بھول جاؤ	2.19
حاصل کرو	رہیں	2.38
احساس	دریافت	2.03
ضرورت ہے	پوچھ گچھ	2.07
نظر انداز	پوچھو	2.22
سوچنا	پوچھ گچھ	2.41
رد کرنا	سے بچیں	2.4
بحث کریں	رضاکارانہ	2.75
پیچھا کرنا	رضاکارانہ	2.83
قبول کرو	معاف کر دو	3.03
کیا	چھوڑ دو	2.46
تحقیقات	جانچ پڑتال کریں	2.27
بحث کریں	وضاحت کریں	3.17
الوداع	قرض دو	2.07
تلاش کریں	دریافت	2.9
شکایت	بحث کریں	2.6
واپس لے لو	رد کرنا	3.04
رکھو	قرض لے	2.37
بھگوان	پوچھو	2.96
بندوبست کریں	منظم	2.79
کم	سکڑیں	2.0
بات کرو	تسلیم کرتے ہیں	3.7
دے دو	قرض لے	2.83
