word1-translated	word2-translated	SimAssoc333
معمولی	لچکدار	0
تازه	وسیع	0
بہت بڑا	گونگا	0
بڑی	لچکدار	0
گندی	تنگ	0
بیوی	شوہر	1
کتاب	متن	1
دولہا	دلہن	1
رات	دن	1
جنوب	شمال	1
ہوائی جہاز	ہوائی اڈے	1
چاچا	چاچی	1
گھوڑے	ہمارا	1
نیچے	اوپر	1
دوست	دوست	1
طالب علم	طالب علم	1
دنیا	دنیا	1
ٹانگ	بازو	1
ہوائی جہاز	جیٹ	1
عورت	آدمی	1
گھوڑے	کالٹ	1
اداکارہ	اداکار	1
استاد	انسٹرکٹر	1
فلم	فلم	1
پرندہ	ہاک	1
لفظ	لغت	1
پیسہ	تنخواہ	1
کتا	کیٹ	1
رقبہ	خطے	1
بحریہ	فوج	1
کتاب	ادب	1
کپڑے	الماری	1
غروب آفتاب	طلوع آفتاب	1
بچہ	بالغ	1
گائے	مویشیوں	1
کتاب	کہانی	1
موسم سرما	موسم گرما	1
ٹیکسی	ٹیکسی	1
درخت	میپل	1
بستر	بیڈروم	1
چھت	چھت	1
بیماری	انفیکشن	1
بازو	کندھے	1
بھیڑ	میمنے	1
خاتون	سلیمان	1
کشتی	لنگر	1
پادری	بندر	1
پیر	انگلی	1
دریا	ندی	1
غصہ	غصہ	1
تاریخ	کیلنڈر	1
سمندر	سمندر	1
دوسرا	منٹ	1
ہاتھ	انگوٹھے	1
لکڑی	لاگ ان	1
مٹی	گندگی	1
دالان	راہداری	1
راستہ	انداز	1
ماؤس	کیٹ	1
پولیس	شیرف	1
موت	دفن	1
موسیقی	مہودی	1
بیئر	شراب	1
منہ	ہپ	1
طوفان	طوفان	1
ٹیکس	آمدنی	1
پھول	وایلیٹ	1
کاغذ	گتے	1
فرش	چھت	1
ساحل سمندر	سمندر	1
چھڑی	پردے	1
ہاؤنڈ	لومڑی	1
سڑک	گلی	1
کشتی	ڈیک	1
کار	سینگ	1
دوست	مہمان	1
آجر	ملازم	1
ہاتھ	کلائی	1
گیند	تپ	1
شراب	برینڈی	1
فتح	فتح	1
ٹیلی فون	بوٹ	1
دروازہ	راہ گزر	1
موٹل	سرائے	1
کپڑے	کپڑا	1
سٹیک	گوشت	1
کیل	انگوٹھے	1
بینڈ	آرکسٹرا	1
کتاب	بائبل	1
کاروبار	صنعت	1
موسم سرما	موسم	1
دہائی	صدی	1
شراب	گن	1
ٹوپی	کوٹ	1
ونڈو	دروازہ	1
بازو	کلائی	1
گھر	اپارٹمنٹ	1
گلاس	کرسٹل	1
شراب	برینڈی	1
خالق	بنانے والا	1
رات کا کھانا	ناشتہ	1
بازو	پٹھوں	1
بلبلا	سوڈ	1
روٹی	آٹا	1
موت	سانحہ	1
عدم موجودگی	موجودگی	1
بندوق	تپ	1
گھاس	بلیڈ	1
گیند	ٹوکری	1
نلی	باغ	1
لڑکا	بچہ	1
چرچ	کوائر	1
کپڑے	دراج	1
ٹاور	گھنٹی	1
باپ	والدین	1
اسکول	گریڈ	1
والدین	بالغ	1
بار	جیل	1
کار	ہائی وے	1
لغت	تعریف	1
دروازہ	سیلار	1
فوج	بڑا لشکر	1
دھاتی	ایلومینیم	1
کرسی	بینچ	1
بادل	دھند	1
لڑکا	بیٹا	1
پانی	برف	1
بستر	کمبل	1
اٹارنی	وکیل	1
رقبہ	زون	1
کاروبار	کمپنی	1
کپڑے	کپڑے	1
سویٹر	جیکٹ	1
پیسہ	دارالحکومت	1
ہاتھ	پاؤں	1
شراب	کاکلا	1
یارڈ	انچ	1
انو	ایٹم	1
لینس	کیمرے	1
کھانا	رات کا کھانا	1
آنکھ	آنسو	1
خدا	شیطان	1
لوپ	بیلٹ	1
چوہا	ماؤس	1
موٹر	انجن	1
کار	ٹیکسی	1
کیٹ	شیر	1
سائز	شدت	1
حقیقت	تصور	1
دروازہ	دروازہ	1
کیٹ	پالتو جانور	1
ٹن	ایلومینیم	1
ہڈی	جبڑے	1
اناج	گندم	1
گھر	کلیدی	1
خون	گوشت	1
دروازہ	راہداری	1
خدا	روح	1
صلاحیت	صلاحیت	1
کثرت	کافی	1
سوفا	کرسی	1
دیوار	اینٹوں	1
سینگ	ڈھول	1
عضو	جگر	1
طاقت	شاید	1
جملہ	لفظ	1
بینڈ	پریڈ	1
پیٹ	کمر	1
بادل	طوفان	1
خوشی	فخر	1
شور	گھبراہٹ	1
بارش	دوبد	1
بیئر	مشروبات	1
آدمی	چاچا	1
سیب	رس	1
انٹیلی جنس	منطق	1
مواصلات	زبان	1
منک	فر	1
موک	بھیڑ	1
ساحل	ساحل	1
تار	ہڈی	1
پرندہ	ترکی	1
بستر	کیڑے	1
صلاحیت	صلاحیت	1
بادل	بھولبلییا	1
کھانا	کھانا	1
بار	پنجرا	1
پانی	نمک	1
احساس	انضمام	1
صورت حال	حالت	1
جرم	چوری	1
انداز	فیشن	1
حد	سرحد	1
بازو	جسم	1
کشتی	کار	1
سینڈوچ	دوپہر کا کھانا	1
دلہن	شہزادی	1
نایکا	ہیرو	1
کار	گیج	1
کیڑے	مکھی	1
کٹیا	جھولا	1
جانور	شخص	1
ماریجوانا	جڑی بوٹی	1
بستر	ہسپتال	1
گال	زبان	1
ڈسک	کمپیوٹر	1
وکر	زاویہ	1
گھاس	ماں	1
اسکول	قانون	1
پاؤں	سر	1
ماں	سرپرست	1
آرتھوڈونٹسٹ	دانتوں کا ڈاکٹر	1
شراب	شراب	1
منہ	دانت	1
ناشتہ	بیکن	1
باتھ روم	بیڈروم	1
پلیٹ	کٹورا	1
گوشت	بیکن	1
ہوا	ہیلیم	1
کارکن	آجر	1
جسم	سینے	1
بیٹا	باپ	1
دل	سرجری	1
عورت	سیکرٹری	1
آدمی	باپ	1
ساحل سمندر	جزیرہ	1
کہانی	موضوع	1
کھیل	مزہ	1
ہفتے کے آخر	ہفتے	1
جوڑے	جوڑی	1
عورت	بیوی	1
بھیڑ	مویشیوں	1
پرس	بیگ	1
چھت	گرجا گھر	1
بین	کافی	1
لکڑی	کاغذ	0
اوپر	طرف	0
جرم	دھوکہ	0
درد	نقصان	0
عاشق	ساتھی	0
شام	دوپہر	0
باپ	بیٹی	0
شراب	شراب	0
گائے	بکری	0
یقین	رائے	0
حقیقت	برم	0
معاہدہ	معاہدہ	0
دولت	غربت	0
حادثہ	ایمرجنسی	0
جنگ	فتح	0
دوست	استاد	0
بیماری	انفیکشن	0
کھیل	چال	0
بھائی	بیٹا	0
چاچی	بھتیجے	0
کارکن	میکینک	0
ڈاکٹر	آرتھوڈونٹسٹ	0
اوک	میپل	0
مکھی	ملکہ	0
کار	سائیکل	0
مقصد	تلاش	0
اگست	مہینے	0
فوج	ٹیم	0
بادل	موسم	0
ڈاکٹر	ڈاکٹر	0
کینیا	وادی	0
دریا	وادی	0
سورج	آسمان	0
ہدف	تیر	0
چاکلیٹ	پائی	0
حالات	صورت حال	0
رائے	انتخاب	0
تال	مہودی	0
گٹ	اعصابی	0
دن	ڈان کی	0
مویشیوں	گوشت	0
ڈاکٹر	پروفیسر	0
بازو	رگ	0
کمرے	غسل	0
کارپوریشن	کاروبار	0
مزہ	فٹ بال	0
پہاڑی	کلف	0
ہڈی	ٹخن	0
سیب	کینڈی	0
مددگار	نوکرانی	0
رہنما	مینیجر	0
لیموں	چائے	0
مکھی	اینٹی	0
باسکٹ بال	بیس بال	0
چاول	بین	0
بستر	فرنیچر	0
جذبات	جذبہ	0
انتشار	افراتفری	0
جرم	خلاف ورزی	0
مشین	انجن	0
ساحل سمندر	سمندر	0
گلی	کٹورا	0
جار	بوتل	0
طاقت	صلاحیت	0
بیج	سرواں	0
گٹار	ڈھول	0
رائے	خیال	0
شمال	مغرب	0
غذا	ترکاریاں	0
ماں	بیوی	0
والد صاحب	ماں	0
کپتان	نااخت	0
میٹر	یارڈ	0
بیئر	شیمپین	0
موٹر	کشتی	0
کارڈ	پل	0
سائنس	نفسیات	0
گنہگار	سنت	0
تباہی	تعمیراتی	0
بھیڑ	گروپ	0
ساحل سمندر	ریف	0
آدمی	بچہ	0
روٹی	پنیر	0
چیمپئن	فاتح	0
جشن	تقریب	0
مینو	آرڈر	0
بادشاہ	شہزادی	0
دولت	وقار	0
برداشت	طاقت	0
خطرہ	خطرہ	0
خدا	پادری	0
مردوں	برادری	0
دوست	ساتھی	0
استاد	مددگار	0
جسم	پیٹ	0
زبان	حلق	0
گھر	قالین	0
انٹیلی جنس	مہارت	0
سفر	فتح	0
خدا	شکار	0
بھائی	روح	0
مخالف	مخالف	0
موت	تباہی	0
راکشس	راکشس	0
دن	صبح	0
آدمی	فاتح	0
دوست	لڑکے	0
نغمہ	کہانی	0
کرن	دھوپ	0
لڑکے	جڑنا	0
چکن	چاول	0
ڈبہ	لفٹ	0
مکھن	آلو	0
اپارٹمنٹ	فرنیچر	0
جھیل	دلدل	0
ترکاریاں	سرکہ	0
پھول	بلب	0
بادل	دوبد	0
ڈرائیور	پائلٹ	0
شکر	شہد	0
جسم	کندھے	0
خیال	تصویر	0
باپ	بھائی	0
چاند	سیارے	0
گیند	کپڑے	0
ریل	باڑ	0
کمرے	بستر	0
پھول	بش	0
ہڈی	گھٹنے	0
بازو	گھٹنے	0
نیچے	طرف	0
برتن	رگ	0
کیٹ	خرگوش	0
گوشت	سینڈوچ	0
یقین	تصور	0
انٹیلی جنس	بصیرت	0
توجہ	دلچسپی	0
رویہ	اعتماد	0
دائیں	انصاف	0
دلیل	معاہدہ	0
گہرائی	شدت	0
درمیانی	خبریں	0
فاتح	امیدوار	0
سالگرہ	تاریخ	0
فیس	ادائیگی	0
بائبل	حمد	0
باہر نکلیں	دروازے	0
آدمی	بھیجا	0
گلیارے	ہال	0
شراب	گن	0
خون	میرو	0
تیل	منک	0
فرش	ڈیک	0
چھت	فرش	0
دروازہ	فرش	0
کندھے	سر	0
وگن	گاڑی	0
کار	گاڑی	0
کہنی	ٹخن	0
دولت	شہرت	0
غم	شرمندگی	0
انتظامیہ	انتظام	0
مواصلات	بات چیت	0
آلودگی	ماحول	0
اناتومی	حیاتیات	0
کالج	پیشہ	0
کتاب	موضوع	0
فارمولہ	مساوات	0
کتاب	معلومات	0
لڑکا	شراکت دار	0
آسمان	کائنات	0
آبادی	لوگ	0
کالج	کلاس	0
چیف	میئر	0
ربیبی	وزیر	0
میٹر	انچ	0
پالئیےسٹر	کپاس	0
وکیل	بینکر	0
وایلن	آلے	0
کیمپ	کیبن	0
برتن	آلات	0
کپڑے	کپڑے	0
شراب	شیمپین	0
لڑکی	بچہ	0
کاٹیج	کیبن	0
پرندہ	ین	0
ریکیٹ	شور	0
غروب آفتاب	شام	0
بہاؤ	بارش	0
بالغ	بچه	0
چارکول	کوئلہ	0
جسم	ریڑھائی	0
سر	کیل	0
لاگ ان	لکڑی	0
چمچ	کپ	0
جسم	اعصابی	0
آدمی	شوہر	0
ہڈی	گردن	0
مایوسی	غصہ	0
دریا	سمندر	0
کام	ملازمت	0
کلب	سماج	0
عکس	تصویر	0
شہزادہ	بادشاہ	0
برف	موسم	0
لوگ	پارٹی	0
لڑکا	بھائی	0
جڑ	گھاس	0
برو	آنکھ	0
پیسہ	موتی	0
پیسہ	ہیرے	0
گاڑی	بس	0
ٹیکسی	بس	0
گھر	بنو	0
انگلی	کھجور	0
کار	پل	0
کوشش	مشکل	0
حقیقت	بصیرت	0
ملازمت	انتظام	0
کینسر	بیماری	0
لفظ	اخبار	0
موسیقار	مصنف	0
اداکار	گلوکار	0
پناہ گاہ	ہٹ	0
باتھ روم	باورچی خانه	0
کیبن	ہٹ	0
دروازہ	باورچی خانه	0
قدر	یقین	0
حکمت	انٹیلی جنس	0
جہالت	انٹیلی جنس	0
خوشی	قسمت	0
خیال	سکیم	0
موڈ	جذبات	0
خوشی	امن	0
نا امید	مصیبت	0
منطق	ریاضی	0
انکار	اقرار	0
دلیل	تنقید	0
جارحیت	دشمنیت	0
ہیسٹریا	الجھن	0
کیمسٹری	نظریہ	0
آزمائش	فیصلے	0
آرام	حفاظت	0
اعتماد	خود	0
اولین مقصد	خیال	0
دور	دہائی	0
جیونی	فکشن	0
بحث	دلیل	0
کوڈ	علامت	0
خطرہ	بیماری	0
حادثہ	تباہی	0
سفر	سفر	0
سرگرمی	تحریک	0
گپ شپ	خبریں	0
باپ	خدا	0
عمل	کورس	0
بخار	بیماری	0
ایوی ایشن	پرواز	0
کھیل	عمل	0
انو	ہوا	0
گھر	حالت	0
لفظ	ادب	0
بالغ	سرپرست	0
اخبار	معلومات	0
مواصلات	ٹیلی ویژن	0
کزن	چاچا	0
مصنف	ریڈر	0
لڑکے	شراکت دار	0
رقبہ	کونے	0
بلڈاد	نغمہ	0
دیوار	سجاوٹ	0
لفظ	صفحہ	0
نرس	سائنسدان	0
سیاست دان	صدر	0
صدر	میئر	0
کتاب	مضمون نویسی	0
آدمی	جنگجو	0
مضمون	جرنل	0
ناشتہ	کھانا	0
بھیڑ	پریڈ	0
گلیارے	دالان	0
استاد	ربیبی	0
ہپ	ہپ	0
کتاب	مضمون	0
کمرے	سیل	0
ڈبہ	بوٹ	0
بیٹی	بچہ	0
انگلی	ٹانگ	0
جگر	پھیپھڑوں	0
کلاس روم	دالان	0
پہاڑ	قیادت	0
کار	لفٹ	0
بستر	سوفی	0
کپڑے	بٹن	0
کپڑے	کوٹ	0
گردہ	عضو	0
سیب	چٹنی	0
چکن	سٹیک	0
کار	نلی	0
تمباکو	سگریٹ	0
طالب علم	پروفیسر	0
بچه	بیٹی	0
پائپ	سگریٹ	0
دودھ	رس	0
ڈبہ	سگریٹ	0
اپارٹمنٹ	ہوٹل	0
کپ	شنک	0
گھوڑے	بیل	0
حلق	ناک	0
ہڈی	دانت	0
ہڈی	کہنی	0
بیکن	بین	0
کپ	جار	0
ثبوت	حقیقت	0
تقرری	مصروفیت	0
سالگرہ	سال	0
لفظ	اشارہ	0
مصنف	خالق	0
ایٹم	کاربن	0
آرکائشی	بش	0
خط	پیراگراف	0
صفحہ	پیراگراف	0
کھڑی	چیپل	0
پٹھوں	ہڈی	0
پٹھوں	زبان	0
لڑکا	فوجی	0
پیٹ	پیٹ	0
لڑکے	لڑکی	0
بستر	کرسی	0
کپڑے	جیکٹ	0
بندوق	چاقو	0
ٹن	دھاتی	0
بوتل	کنٹینر	0
ین	ترکی	0
گوشت	روٹی	0
بازو	ہڈی	0
گردن	ریڑھائی	0
سیب	لیموں	0
پریشانی	غم	0
تفویض	کام	0
رات	ڈان کی	0
رات کا کھانا	سوپ	0
بچہ	بیل	0
برف	طوفان	0
کیل	ہاتھ	0
کتا	گھوڑے	0
بازو	گردن	0
گیند	دستانے	0
فلو	بخار	0
فیس	تنخواہ	0
اعصابی	دماغ	0
جانور	جانور	0
رات کا کھانا	چکن	0
لڑکی	نوکرانی	0
بچہ	لڑکا	0
شراب	شراب	0
ناک	منہ	0
سڑک	کار	0
گھنٹی	دروازہ	0
ڈبہ	ٹوپی	0
یقین	تاثر	0
تعصب	رائے	0
توجہ	شعور	0
غصہ	موڈ	0
خوبصورتی	انداز	0
خوبصورتی	عمر	0
کتاب	خیالیہ	0
دوست	ماں	0
وٹامن	لوہے	0
کار	فیکٹری	0
معاہدہ	حالت	0
باب	انتخاب	0
ریاضی	تال	0
فاتح	موجودگی	0
یقین	پھول	0
فاتح	مقصد	0
چال	سائز	0
انتخاب	رگ	0
حمد	فتح	0
برداشت	بینڈ	0
جیل	انتخاب	0
حالت	لڑکا	0
پھول	برداشت	0
سوراخ	معاہدہ	0
ڈاکٹر	مزاج	0
برادری	دروازہ	0
کام	عورت	0
برادری	بیس بال	0
سینٹ	سائز	0
موجودگی	دروازہ	0
ماؤس	انتظام	0
کام	ہائی وے	0
شراب	صدی	0
کام	اسٹرک	0
جزیرہ	کام	0
رات	باب	0
آلودگی	صدر	0
بندوق	چال	0
غسل	چال	0
غذا	سیب	0
سینٹ	بیوی	0
باب	دم	0
کورس	پیٹ	0
حمد	اسٹرک	0
دانتوں کا ڈاکٹر	کالونی	0
بیوی	اسٹرک	0
سوراخ	بیوی	0
طالب علم	صدر	0
غسل	بیوی	0
لوگ	سینٹ	0
فارمولہ	لاگ ان	0
عورت	فر	0
سیب	دھوپ	0
بندوق	ڈان کی	0
کھانا	کمر	0
کیمرے	صدر	0
شراب	بینڈ	0
پیٹ	رگ	0
بندوق	فر	0
سوفی	بیس بال	0
کارکن	کیمرے	0
ڈیک	ماؤس	0
چاول	لڑکا	0
لوگ	بندوق	0
کلف	دم	0
ٹخن	ونڈو	0
شہزادی	جزیرہ	0
کنٹینر	ماؤس	0
وگن	کنٹینر	0
لوگ	بیلون	0
ڈالر	لوگ	0
غسل	بیلون	0
پیٹ	بیڈروم	0
سائیکل	بیڈروم	0
لاگ ان	غسل	0
کٹورا	دم	0
جاؤ	آو	1
لے لو	چوری	1
سننا	سننا	1
سوچنا	منطقی	1
واقع	ہو	1
غائب	غائب ہو	1
ضرب	تقسیم	1
درخواست	بھگوان	1
شروع	ابتداء	1
حفاظت	دفاع	1
قتل کرو	تباہ	1
بنانا	بناؤ	1
قبول	رد	1
نظر انداز	پرہیز	1
لے لو	لانے	1
چھوڑ	درج	1
منتخب	چننا	1
کھو	ناکام	1
حوصلہ افزائی	دل شکستہ	1
حاصل	پورا	1
بناؤ	تعمیر	1
سننا	اطاعت	1
مطلع	مطلع	1
وصول	دے	1
قرض	مانگنا	1
لے لو	حاصل	1
مشورہ	تجویز	1
نقل	بیان	1
جیت	کامیاب	1
سوچنا	فیصلہ	1
سلام	ملیں	1
متفق	بحث	1
لطف اندوز	تفریح	1
تباہ	بناؤ	1
بچاؤ	حفاظت	1
دے دو	قرض دو	1
سمجھو	پتہ	1
لے لو	وصول کریں	1
قبول کرو	تسلیم کرتے ہیں	1
فیصلہ کرنا	منتخب کریں	1
قبول کرو	یقین	1
رکھو	مالک	1
روام	گھومنا	1
کامیاب	ناکام	1
خرچ کرو	بچاؤ	1
چھوڑ دو	جاؤ	1
آو	حاضری	1
پتہ	یقین	1
جمع	ملیں	1
بناؤ	کماتے	1
بھول جاؤ	نظر انداز	1
ضرب	شامل	1
سکڑیں	بڑھو	1
آو	چھوڑ دو	1
کامیاب	کوشش	1
قبول کرو	انکار	1
آو	آو	1
متفق ہوں	مختلف	0
بھیجیں	وصول	0
جیت	غلبہ	0
شامل	تقسیم	0
قتل	گلا گھونٹنا	0
حاصل	حاصل	0
حصہ لیں	شامل	0
چھوڑ دو	رہیں	0
جاؤ	درج	0
لے لو	لے لو	0
بھول جاؤ	سیکھنا	0
مقرر کریں	چننا	0
مشغول	شادی کرو	0
پوچھو	دعا کرو	0
جاؤ	بھیجیں	0
لے لو	فراہم کرو	0
بات کرو	سننا	0
تجزیہ کریں	اندازہ	0
بحث کریں	منطقی	0
کھو	رکھو	0
موازنہ کریں	تجزیہ کریں	0
غیر منظم	منظم	0
جاؤ	اجازت دیں	0
لے لو	مالک	0
سیکھنا	سننا	0
تباہ	تعمیر	0
بنانا	تعمیر کرو	0
چوری	خریدنے	0
قتل کرو	پھانسی	0
بھول جاؤ	پتہ	0
بنانا	تصور	0
کیا	ہو	0
جیت	پورا	0
دے دو	انکار	0
مستحق	کماتے ہیں	0
حاصل کرو	ڈالیں	0
تلاش کریں	مل	0
ظاہر	حاضری	0
پتہ	سمجھو	0
دکھاؤ	تصور	0
مطمئن	براہ کرم	0
چیری	رکھو	0
بحث کریں	مختلف	0
پر قابو پانے	غلبہ	0
سلوک کرنا	اطاعت کرو	0
تعاون کریں	حصہ لیں	0
حاصل کریں	کوشش کریں	0
ناکام	ہراساں کرنا	0
شروع کرو	چھوڑ دو	0
کہہ دو	حصہ لیں	0
آو	لانے	0
اعلان کریں	اعلان کریں	0
پڑھو	سمجھو	0
لے لو	چھوڑ دو	0
اعلان کرو	اعلان کریں	0
حاصل	حاصل کریں	0
اختتام کریں	فیصلہ کرنا	0
براہ کرم	درخواست	0
بحث کریں	ثابت کرو	0
پوچھو	درخواست	0
مل	غائب ہو	0
معائنہ	جانچ پڑتال کریں	0
تصدیق کریں	مستحق	0
فرض کرو	پیش گوئی	0
سیکھنا	اندازہ	0
بحث کریں	مستحق	0
بناؤ	بن	0
دریافت	ابتداء	0
حاصل کریں	کامیاب	0
دے دو	ڈالیں	0
سمجھو	سننا	0
توسیع	بڑھو	0
قرض لے	فروخت	0
رکھو	حفاظت کرو	0
وضاحت کریں	ثابت کرو	0
فرض کرو	دکھاؤ	0
متفق ہوں	براہ کرم	0
معاف کر دو	بھول جاؤ	0
واضح	وضاحت کریں	0
سمجھو	معاف کر دو	0
یاد رکھیں	بھول جاؤ	0
حاصل کرو	رہیں	0
احساس	دریافت	0
ضرورت ہے	پوچھ گچھ	0
نظر انداز	پوچھو	0
سوچنا	پوچھ گچھ	0
رد کرنا	سے بچیں	0
بحث کریں	رضاکارانہ	0
پیچھا کرنا	رضاکارانہ	0
قبول کرو	معاف کر دو	0
کیا	چھوڑ دو	0
تحقیقات	جانچ پڑتال کریں	0
بحث کریں	وضاحت کریں	0
الوداع	قرض دو	0
تلاش کریں	دریافت	0
شکایت	بحث کریں	0
واپس لے لو	رد کرنا	0
رکھو	قرض لے	0
بھگوان	پوچھو	0
بندوبست کریں	منظم	0
کم	سکڑیں	0
بات کرو	تسلیم کرتے ہیں	0
دے دو	قرض لے	0
قتل کرو	دفاع کرو	0
غائب ہو	سکڑیں	0
فراہم کرو	لے لو	0
سانس لینے	گلا گھونٹنا	0
تسلیم کرتے ہیں	مطلع	0
بن	لگتا ہے	0
دکھاؤ	لگتا ہے	0
پورا	بن	0
خیال رکھنا	سوچنا	0
تعین کریں	پیش گوئی	0
براہ کرم	تفریح	0
رہیں	برقرار رکھو	0
دکھاؤ	بیان کیا	0
بھول جاؤ	برقرار رکھو	0
چاہتے ہیں	منتخب کریں	0
کھو	حاصل کرو	0
کوشش کریں	سوچنا	0
بن	ظاہر	0
چھوڑ دو	نظر انداز	0
قبول کرو	تجویز کرو	0
چھوڑ دو	گھومنا	0
رکھو	دے دو	0
دے دو	اجازت دیں	0
لانے	بھیجیں	0
جذب	سیکھنا	0
حاصل	مل	0
چھوڑ دو	ظاہر	0
بنانا	تباہ	0
شروع کرو	جاؤ	0
حاصل کرو	خریدنے	0
جمع	بچاؤ	0
تبدیل کریں	بحال کریں	0
شامل ہونا	شامل کریں	0
شامل ہونا	شادی کرو	0
قبول کرو	فراہم کرو	0
منسلک کریں	شامل ہونا	0
ڈالیں	پھانسی	0
جاؤ	فروخت	0
بات چیت	دعا کرو	0
دے دو	چوری	0
شامل کریں	تعمیر کرو	0
لانے	بحال کریں	0
سمجھو	مطمئن	0
بیان کیا	فیصلہ کرنا	0
منظم	بن	0
دے دو	پتہ	0
کہہ دو	تصدیق کریں	0
تعاون کریں	شامل ہونا	0
بندوبست کریں	ضرورت ہے	0
قرض لے	چاہتے ہیں	0
تحقیقات	پیچھا کرنا	0
نظر انداز	تلاش کریں	0
لانے	شکایت	0
درج کریں	الوداع	0
بیان کیا	مطلع	0
یاد رکھیں	فروخت	0
جذب	مالک	0
شامل ہونا	حاصل	0
بھیجیں	حاضری	0
جمع	حاضری	0
جذب	واپس لے لو	0
حاضری	آو	0
