word1-translated	word2-translated	POS
اوک	میپل	N
مکھی	ملکہ	N
کار	سائیکل	N
مقصد	تلاش	N
اگست	مہینے	N
فوج	ٹیم	N
بادل	موسم	N
ڈاکٹر	ڈاکٹر	N
کینیا	وادی	N
دریا	وادی	N
سورج	آسمان	N
ہدف	تیر	N
چاکلیٹ	پائی	N
حالات	صورت حال	N
رائے	انتخاب	N
تال	مہودی	N
گٹ	اعصابی	N
دن	ڈان کی	N
مویشیوں	گوشت	N
ڈاکٹر	پروفیسر	N
بازو	رگ	N
کمرے	غسل	N
کارپوریشن	کاروبار	N
مزہ	فٹ بال	N
پہاڑی	کلف	N
ہڈی	ٹخن	N
سیب	کینڈی	N
مددگار	نوکرانی	N
رہنما	مینیجر	N
لیموں	چائے	N
مکھی	اینٹی	N
باسکٹ بال	بیس بال	N
چاول	بین	N
بستر	فرنیچر	N
جذبات	جذبہ	N
انتشار	افراتفری	N
جرم	خلاف ورزی	N
مشین	انجن	N
ساحل سمندر	سمندر	N
گلی	کٹورا	N
جار	بوتل	N
طاقت	صلاحیت	N
بیج	سرواں	N
گٹار	ڈھول	N
رائے	خیال	N
شمال	مغرب	N
غذا	ترکاریاں	N
ماں	بیوی	N
والد صاحب	ماں	N
کپتان	نااخت	N
میٹر	یارڈ	N
بیئر	شیمپین	N
موٹر	کشتی	N
کارڈ	پل	N
سائنس	نفسیات	N
گنہگار	سنت	N
تباہی	تعمیراتی	N
بھیڑ	گروپ	N
ساحل سمندر	ریف	N
آدمی	بچہ	N
روٹی	پنیر	N
چیمپئن	فاتح	N
جشن	تقریب	N
مینو	آرڈر	N
بادشاہ	شہزادی	N
دولت	وقار	N
برداشت	طاقت	N
خطرہ	خطرہ	N
خدا	پادری	N
مردوں	برادری	N
دوست	ساتھی	N
استاد	مددگار	N
جسم	پیٹ	N
زبان	حلق	N
گھر	قالین	N
انٹیلی جنس	مہارت	N
سفر	فتح	N
خدا	شکار	N
بھائی	روح	N
مخالف	مخالف	N
موت	تباہی	N
راکشس	راکشس	N
دن	صبح	N
آدمی	فاتح	N
دوست	لڑکے	N
نغمہ	کہانی	N
کرن	دھوپ	N
لڑکے	جڑنا	N
چکن	چاول	N
ڈبہ	لفٹ	N
مکھن	آلو	N
اپارٹمنٹ	فرنیچر	N
جھیل	دلدل	N
ترکاریاں	سرکہ	N
پھول	بلب	N
بادل	دوبد	N
ڈرائیور	پائلٹ	N
شکر	شہد	N
جسم	کندھے	N
خیال	تصویر	N
باپ	بھائی	N
چاند	سیارے	N
گیند	کپڑے	N
ریل	باڑ	N
کمرے	بستر	N
پھول	بش	N
ہڈی	گھٹنے	N
بازو	گھٹنے	N
نیچے	طرف	N
برتن	رگ	N
کیٹ	خرگوش	N
گوشت	سینڈوچ	N
یقین	تصور	N
انٹیلی جنس	بصیرت	N
توجہ	دلچسپی	N
رویہ	اعتماد	N
دائیں	انصاف	N
دلیل	معاہدہ	N
گہرائی	شدت	N
درمیانی	خبریں	N
فاتح	امیدوار	N
سالگرہ	تاریخ	N
فیس	ادائیگی	N
بائبل	حمد	N
باہر نکلیں	دروازے	N
آدمی	بھیجا	N
گلیارے	ہال	N
شراب	گن	N
خون	میرو	N
تیل	منک	N
فرش	ڈیک	N
چھت	فرش	N
دروازہ	فرش	N
کندھے	سر	N
وگن	گاڑی	N
کار	گاڑی	N
کہنی	ٹخن	N
دولت	شہرت	N
غم	شرمندگی	N
انتظامیہ	انتظام	N
مواصلات	بات چیت	N
آلودگی	ماحول	N
اناتومی	حیاتیات	N
کالج	پیشہ	N
کتاب	موضوع	N
فارمولہ	مساوات	N
کتاب	معلومات	N
لڑکا	شراکت دار	N
آسمان	کائنات	N
آبادی	لوگ	N
کالج	کلاس	N
چیف	میئر	N
ربیبی	وزیر	N
میٹر	انچ	N
پالئیےسٹر	کپاس	N
وکیل	بینکر	N
وایلن	آلے	N
کیمپ	کیبن	N
برتن	آلات	N
کپڑے	کپڑے	N
شراب	شیمپین	N
لڑکی	بچہ	N
کاٹیج	کیبن	N
پرندہ	ین	N
ریکیٹ	شور	N
غروب آفتاب	شام	N
بہاؤ	بارش	N
بالغ	بچه	N
چارکول	کوئلہ	N
جسم	ریڑھائی	N
سر	کیل	N
لاگ ان	لکڑی	N
چمچ	کپ	N
جسم	اعصابی	N
آدمی	شوہر	N
ہڈی	گردن	N
مایوسی	غصہ	N
دریا	سمندر	N
کام	ملازمت	N
کلب	سماج	N
عکس	تصویر	N
شہزادہ	بادشاہ	N
برف	موسم	N
لوگ	پارٹی	N
لڑکا	بھائی	N
جڑ	گھاس	N
برو	آنکھ	N
پیسہ	موتی	N
پیسہ	ہیرے	N
گاڑی	بس	N
ٹیکسی	بس	N
گھر	بنو	N
انگلی	کھجور	N
کار	پل	N
کوشش	مشکل	N
حقیقت	بصیرت	N
ملازمت	انتظام	N
کینسر	بیماری	N
لفظ	اخبار	N
موسیقار	مصنف	N
اداکار	گلوکار	N
پناہ گاہ	ہٹ	N
باتھ روم	باورچی خانه	N
کیبن	ہٹ	N
دروازہ	باورچی خانه	N
قدر	یقین	N
حکمت	انٹیلی جنس	N
جہالت	انٹیلی جنس	N
خوشی	قسمت	N
خیال	سکیم	N
موڈ	جذبات	N
خوشی	امن	N
نا امید	مصیبت	N
منطق	ریاضی	N
انکار	اقرار	N
دلیل	تنقید	N
جارحیت	دشمنیت	N
ہیسٹریا	الجھن	N
کیمسٹری	نظریہ	N
آزمائش	فیصلے	N
آرام	حفاظت	N
اعتماد	خود	N
اولین مقصد	خیال	N
دور	دہائی	N
جیونی	فکشن	N
بحث	دلیل	N
کوڈ	علامت	N
خطرہ	بیماری	N
حادثہ	تباہی	N
سفر	سفر	N
سرگرمی	تحریک	N
گپ شپ	خبریں	N
باپ	خدا	N
عمل	کورس	N
بخار	بیماری	N
ایوی ایشن	پرواز	N
کھیل	عمل	N
انو	ہوا	N
گھر	حالت	N
لفظ	ادب	N
بالغ	سرپرست	N
اخبار	معلومات	N
مواصلات	ٹیلی ویژن	N
کزن	چاچا	N
مصنف	ریڈر	N
لڑکے	شراکت دار	N
رقبہ	کونے	N
بلڈاد	نغمہ	N
دیوار	سجاوٹ	N
لفظ	صفحہ	N
نرس	سائنسدان	N
سیاست دان	صدر	N
صدر	میئر	N
کتاب	مضمون نویسی	N
آدمی	جنگجو	N
مضمون	جرنل	N
ناشتہ	کھانا	N
بھیڑ	پریڈ	N
گلیارے	دالان	N
استاد	ربیبی	N
ہپ	ہپ	N
کتاب	مضمون	N
کمرے	سیل	N
ڈبہ	بوٹ	N
بیٹی	بچہ	N
انگلی	ٹانگ	N
جگر	پھیپھڑوں	N
کلاس روم	دالان	N
پہاڑ	قیادت	N
کار	لفٹ	N
بستر	سوفی	N
کپڑے	بٹن	N
کپڑے	کوٹ	N
گردہ	عضو	N
سیب	چٹنی	N
چکن	سٹیک	N
کار	نلی	N
تمباکو	سگریٹ	N
طالب علم	پروفیسر	N
بچه	بیٹی	N
پائپ	سگریٹ	N
دودھ	رس	N
ڈبہ	سگریٹ	N
اپارٹمنٹ	ہوٹل	N
کپ	شنک	N
گھوڑے	بیل	N
حلق	ناک	N
ہڈی	دانت	N
ہڈی	کہنی	N
بیکن	بین	N
کپ	جار	N
ثبوت	حقیقت	N
تقرری	مصروفیت	N
سالگرہ	سال	N
لفظ	اشارہ	N
مصنف	خالق	N
ایٹم	کاربن	N
آرکائشی	بش	N
خط	پیراگراف	N
صفحہ	پیراگراف	N
کھڑی	چیپل	N
پٹھوں	ہڈی	N
پٹھوں	زبان	N
لڑکا	فوجی	N
پیٹ	پیٹ	N
لڑکے	لڑکی	N
بستر	کرسی	N
کپڑے	جیکٹ	N
بندوق	چاقو	N
ٹن	دھاتی	N
بوتل	کنٹینر	N
ین	ترکی	N
گوشت	روٹی	N
بازو	ہڈی	N
گردن	ریڑھائی	N
سیب	لیموں	N
پریشانی	غم	N
تفویض	کام	N
رات	ڈان کی	N
رات کا کھانا	سوپ	N
بچہ	بیل	N
برف	طوفان	N
کیل	ہاتھ	N
کتا	گھوڑے	N
بازو	گردن	N
گیند	دستانے	N
فلو	بخار	N
فیس	تنخواہ	N
اعصابی	دماغ	N
جانور	جانور	N
رات کا کھانا	چکن	N
لڑکی	نوکرانی	N
بچہ	لڑکا	N
شراب	شراب	N
ناک	منہ	N
سڑک	کار	N
گھنٹی	دروازہ	N
ڈبہ	ٹوپی	N
یقین	تاثر	N
تعصب	رائے	N
توجہ	شعور	N
غصہ	موڈ	N
خوبصورتی	انداز	N
خوبصورتی	عمر	N
کتاب	خیالیہ	N
دوست	ماں	N
وٹامن	لوہے	N
کار	فیکٹری	N
معاہدہ	حالت	N
باب	انتخاب	N
ریاضی	تال	N
فاتح	موجودگی	N
یقین	پھول	N
فاتح	مقصد	N
چال	سائز	N
انتخاب	رگ	N
حمد	فتح	N
برداشت	بینڈ	N
جیل	انتخاب	N
حالت	لڑکا	N
پھول	برداشت	N
سوراخ	معاہدہ	N
ڈاکٹر	مزاج	N
برادری	دروازہ	N
کام	عورت	N
برادری	بیس بال	N
سینٹ	سائز	N
موجودگی	دروازہ	N
ماؤس	انتظام	N
کام	ہائی وے	N
شراب	صدی	N
کام	اسٹرک	N
جزیرہ	کام	N
رات	باب	N
آلودگی	صدر	N
بندوق	چال	N
غسل	چال	N
غذا	سیب	N
سینٹ	بیوی	N
باب	دم	N
کورس	پیٹ	N
حمد	اسٹرک	N
دانتوں کا ڈاکٹر	کالونی	N
بیوی	اسٹرک	N
سوراخ	بیوی	N
طالب علم	صدر	N
غسل	بیوی	N
لوگ	سینٹ	N
فارمولہ	لاگ ان	N
عورت	فر	N
سیب	دھوپ	N
بندوق	ڈان کی	N
کھانا	کمر	N
کیمرے	صدر	N
شراب	بینڈ	N
پیٹ	رگ	N
بندوق	فر	N
سوفی	بیس بال	N
کارکن	کیمرے	N
ڈیک	ماؤس	N
چاول	لڑکا	N
لوگ	بندوق	N
کلف	دم	N
ٹخن	ونڈو	N
شہزادی	جزیرہ	N
کنٹینر	ماؤس	N
وگن	کنٹینر	N
لوگ	بیلون	N
ڈالر	لوگ	N
غسل	بیلون	N
پیٹ	بیڈروم	N
سائیکل	بیڈروم	N
لاگ ان	غسل	N
کٹورا	دم	N
جاؤ	آو	V
لے لو	چوری	V
سننا	سننا	V
سوچنا	منطقی	V
واقع	ہو	V
غائب	غائب ہو	V
ضرب	تقسیم	V
درخواست	بھگوان	V
شروع	ابتداء	V
حفاظت	دفاع	V
قتل کرو	تباہ	V
بنانا	بناؤ	V
قبول	رد	V
نظر انداز	پرہیز	V
لے لو	لانے	V
چھوڑ	درج	V
منتخب	چننا	V
کھو	ناکام	V
حوصلہ افزائی	دل شکستہ	V
حاصل	پورا	V
بناؤ	تعمیر	V
سننا	اطاعت	V
مطلع	مطلع	V
وصول	دے	V
قرض	مانگنا	V
لے لو	حاصل	V
مشورہ	تجویز	V
نقل	بیان	V
جیت	کامیاب	V
سوچنا	فیصلہ	V
سلام	ملیں	V
متفق	بحث	V
لطف اندوز	تفریح	V
تباہ	بناؤ	V
بچاؤ	حفاظت	V
دے دو	قرض دو	V
سمجھو	پتہ	V
لے لو	وصول کریں	V
قبول کرو	تسلیم کرتے ہیں	V
فیصلہ کرنا	منتخب کریں	V
قبول کرو	یقین	V
رکھو	مالک	V
روام	گھومنا	V
کامیاب	ناکام	V
خرچ کرو	بچاؤ	V
چھوڑ دو	جاؤ	V
آو	حاضری	V
پتہ	یقین	V
جمع	ملیں	V
بناؤ	کماتے	V
بھول جاؤ	نظر انداز	V
ضرب	شامل	V
سکڑیں	بڑھو	V
آو	چھوڑ دو	V
کامیاب	کوشش	V
قبول کرو	انکار	V
آو	آو	V
متفق ہوں	مختلف	V
بھیجیں	وصول	V
جیت	غلبہ	V
شامل	تقسیم	V
قتل	گلا گھونٹنا	V
حاصل	حاصل	V
حصہ لیں	شامل	V
چھوڑ دو	رہیں	V
جاؤ	درج	V
لے لو	لے لو	V
بھول جاؤ	سیکھنا	V
مقرر کریں	چننا	V
مشغول	شادی کرو	V
پوچھو	دعا کرو	V
جاؤ	بھیجیں	V
لے لو	فراہم کرو	V
بات کرو	سننا	V
تجزیہ کریں	اندازہ	V
بحث کریں	منطقی	V
کھو	رکھو	V
موازنہ کریں	تجزیہ کریں	V
غیر منظم	منظم	V
جاؤ	اجازت دیں	V
لے لو	مالک	V
سیکھنا	سننا	V
تباہ	تعمیر	V
بنانا	تعمیر کرو	V
چوری	خریدنے	V
قتل کرو	پھانسی	V
بھول جاؤ	پتہ	V
بنانا	تصور	V
کیا	ہو	V
جیت	پورا	V
دے دو	انکار	V
مستحق	کماتے ہیں	V
حاصل کرو	ڈالیں	V
تلاش کریں	مل	V
ظاہر	حاضری	V
پتہ	سمجھو	V
دکھاؤ	تصور	V
مطمئن	براہ کرم	V
چیری	رکھو	V
بحث کریں	مختلف	V
پر قابو پانے	غلبہ	V
سلوک کرنا	اطاعت کرو	V
تعاون کریں	حصہ لیں	V
حاصل کریں	کوشش کریں	V
ناکام	ہراساں کرنا	V
شروع کرو	چھوڑ دو	V
کہہ دو	حصہ لیں	V
آو	لانے	V
اعلان کریں	اعلان کریں	V
پڑھو	سمجھو	V
لے لو	چھوڑ دو	V
اعلان کرو	اعلان کریں	V
حاصل	حاصل کریں	V
اختتام کریں	فیصلہ کرنا	V
براہ کرم	درخواست	V
بحث کریں	ثابت کرو	V
پوچھو	درخواست	V
مل	غائب ہو	V
معائنہ	جانچ پڑتال کریں	V
تصدیق کریں	مستحق	V
فرض کرو	پیش گوئی	V
سیکھنا	اندازہ	V
بحث کریں	مستحق	V
بناؤ	بن	V
دریافت	ابتداء	V
حاصل کریں	کامیاب	V
دے دو	ڈالیں	V
سمجھو	سننا	V
توسیع	بڑھو	V
قرض لے	فروخت	V
رکھو	حفاظت کرو	V
وضاحت کریں	ثابت کرو	V
فرض کرو	دکھاؤ	V
متفق ہوں	براہ کرم	V
معاف کر دو	بھول جاؤ	V
واضح	وضاحت کریں	V
سمجھو	معاف کر دو	V
یاد رکھیں	بھول جاؤ	V
حاصل کرو	رہیں	V
احساس	دریافت	V
ضرورت ہے	پوچھ گچھ	V
نظر انداز	پوچھو	V
سوچنا	پوچھ گچھ	V
رد کرنا	سے بچیں	V
بحث کریں	رضاکارانہ	V
پیچھا کرنا	رضاکارانہ	V
قبول کرو	معاف کر دو	V
کیا	چھوڑ دو	V
تحقیقات	جانچ پڑتال کریں	V
بحث کریں	وضاحت کریں	V
الوداع	قرض دو	V
تلاش کریں	دریافت	V
شکایت	بحث کریں	V
واپس لے لو	رد کرنا	V
رکھو	قرض لے	V
بھگوان	پوچھو	V
بندوبست کریں	منظم	V
کم	سکڑیں	V
بات کرو	تسلیم کرتے ہیں	V
دے دو	قرض لے	V
قتل کرو	دفاع کرو	V
غائب ہو	سکڑیں	V
فراہم کرو	لے لو	V
سانس لینے	گلا گھونٹنا	V
تسلیم کرتے ہیں	مطلع	V
بن	لگتا ہے	V
دکھاؤ	لگتا ہے	V
پورا	بن	V
خیال رکھنا	سوچنا	V
تعین کریں	پیش گوئی	V
براہ کرم	تفریح	V
رہیں	برقرار رکھو	V
دکھاؤ	بیان کیا	V
بھول جاؤ	برقرار رکھو	V
چاہتے ہیں	منتخب کریں	V
کھو	حاصل کرو	V
کوشش کریں	سوچنا	V
بن	ظاہر	V
چھوڑ دو	نظر انداز	V
قبول کرو	تجویز کرو	V
چھوڑ دو	گھومنا	V
رکھو	دے دو	V
دے دو	اجازت دیں	V
لانے	بھیجیں	V
جذب	سیکھنا	V
حاصل	مل	V
چھوڑ دو	ظاہر	V
بنانا	تباہ	V
شروع کرو	جاؤ	V
حاصل کرو	خریدنے	V
جمع	بچاؤ	V
تبدیل کریں	بحال کریں	V
شامل ہونا	شامل کریں	V
شامل ہونا	شادی کرو	V
قبول کرو	فراہم کرو	V
منسلک کریں	شامل ہونا	V
ڈالیں	پھانسی	V
جاؤ	فروخت	V
بات چیت	دعا کرو	V
دے دو	چوری	V
شامل کریں	تعمیر کرو	V
لانے	بحال کریں	V
سمجھو	مطمئن	V
بیان کیا	فیصلہ کرنا	V
منظم	بن	V
دے دو	پتہ	V
کہہ دو	تصدیق کریں	V
تعاون کریں	شامل ہونا	V
بندوبست کریں	ضرورت ہے	V
قرض لے	چاہتے ہیں	V
تحقیقات	پیچھا کرنا	V
نظر انداز	تلاش کریں	V
لانے	شکایت	V
درج کریں	الوداع	V
بیان کیا	مطلع	V
یاد رکھیں	فروخت	V
جذب	مالک	V
شامل ہونا	حاصل	V
بھیجیں	حاضری	V
جمع	حاضری	V
جذب	واپس لے لو	V
حاضری	آو	V
