word1-translated	word2-translated	SD(SimLex)
غصہ	غصہ	1.89
تاریخ	کیلنڈر	1.5
سمندر	سمندر	1.3
دوسرا	منٹ	1.15
ہاتھ	انگوٹھے	0.44
لکڑی	لاگ ان	0.87
مٹی	گندگی	0.48
دالان	راہداری	0.76
راستہ	انداز	0.44
ماؤس	کیٹ	1.02
پولیس	شیرف	1.55
موت	دفن	1.88
موسیقی	مہودی	1.36
بیئر	شراب	1.07
منہ	ہپ	1.4
طوفان	طوفان	0.9
ٹیکس	آمدنی	1.15
پھول	وایلیٹ	1.72
کاغذ	گتے	1.22
فرش	چھت	0.97
ساحل سمندر	سمندر	0.47
چھڑی	پردے	0.39
ہاؤنڈ	لومڑی	1.36
سڑک	گلی	1.62
کشتی	ڈیک	1.39
کار	سینگ	0.79
دوست	مہمان	1.41
آجر	ملازم	0.95
ہاتھ	کلائی	1.32
گیند	تپ	1.82
شراب	برینڈی	0.57
فتح	فتح	0.94
ٹیلی فون	بوٹ	1.1
دروازہ	راہ گزر	1.86
موٹل	سرائے	0.39
کپڑے	کپڑا	1.43
سٹیک	گوشت	1.34
کیل	انگوٹھے	1.16
بینڈ	آرکسٹرا	1.36
کتاب	بائبل	1.43
کاروبار	صنعت	1.1
موسم سرما	موسم	1.76
دہائی	صدی	1.36
شراب	گن	1.17
ٹوپی	کوٹ	1.76
ونڈو	دروازہ	1.6
بازو	کلائی	1.33
گھر	اپارٹمنٹ	1.4
گلاس	کرسٹل	1.48
شراب	برینڈی	1.67
خالق	بنانے والا	1.4
رات کا کھانا	ناشتہ	1.72
بازو	پٹھوں	0.83
بلبلا	سوڈ	1.59
روٹی	آٹا	1.25
موت	سانحہ	1.13
عدم موجودگی	موجودگی	1.5
بندوق	تپ	1.56
گھاس	بلیڈ	1.53
گیند	ٹوکری	1.08
نلی	باغ	1.1
لڑکا	بچہ	1.44
چرچ	کوائر	1.43
کپڑے	دراج	1.49
ٹاور	گھنٹی	1.41
باپ	والدین	1.06
اسکول	گریڈ	1.32
والدین	بالغ	1.6
بار	جیل	1.12
کار	ہائی وے	1.77
لغت	تعریف	1.06
دروازہ	سیلار	1.47
فوج	بڑا لشکر	1.29
دھاتی	ایلومینیم	1.76
کرسی	بینچ	1.22
بادل	دھند	1.04
لڑکا	بیٹا	0.88
پانی	برف	1.66
بستر	کمبل	1.48
اٹارنی	وکیل	1.4
رقبہ	زون	0.89
کاروبار	کمپنی	0.47
کپڑے	کپڑے	1.66
سویٹر	جیکٹ	1.13
پیسہ	دارالحکومت	0.97
ہاتھ	پاؤں	1.41
شراب	کاکلا	1.2
یارڈ	انچ	1.4
انو	ایٹم	1.56
لینس	کیمرے	1.89
کھانا	رات کا کھانا	2.0
آنکھ	آنسو	1.48
خدا	شیطان	1.1
لوپ	بیلٹ	1.74
چوہا	ماؤس	0.93
موٹر	انجن	1.47
کار	ٹیکسی	1.15
کیٹ	شیر	0.84
سائز	شدت	0.59
حقیقت	تصور	0.89
دروازہ	دروازہ	1.47
کیٹ	پالتو جانور	1.41
ٹن	ایلومینیم	1.3
ہڈی	جبڑے	0.44
اناج	گندم	1.72
گھر	کلیدی	1.09
خون	گوشت	1.74
دروازہ	راہداری	1.11
خدا	روح	1.63
صلاحیت	صلاحیت	0.84
کثرت	کافی	1.02
سوفا	کرسی	1.56
دیوار	اینٹوں	1.16
سینگ	ڈھول	0.47
عضو	جگر	1.12
طاقت	شاید	0.8
جملہ	لفظ	1.73
بینڈ	پریڈ	1.74
پیٹ	کمر	1.49
بادل	طوفان	1.47
خوشی	فخر	0.9
شور	گھبراہٹ	1.33
بارش	دوبد	1.83
بیئر	مشروبات	1.34
آدمی	چاچا	1.36
سیب	رس	1.65
انٹیلی جنس	منطق	1.2
مواصلات	زبان	1.09
منک	فر	0.39
موک	بھیڑ	1.2
ساحل	ساحل	1.53
تار	ہڈی	1.35
پرندہ	ترکی	1.6
بستر	کیڑے	1.56
صلاحیت	صلاحیت	0.6
بادل	بھولبلییا	1.68
کھانا	کھانا	0.47
بار	پنجرا	0.51
پانی	نمک	0.94
احساس	انضمام	1.24
صورت حال	حالت	1.41
جرم	چوری	1.32
انداز	فیشن	0.87
حد	سرحد	0.44
بازو	جسم	0.51
کشتی	کار	1.17
سینڈوچ	دوپہر کا کھانا	1.53
دلہن	شہزادی	0.92
نایکا	ہیرو	1.79
کار	گیج	1.47
کیڑے	مکھی	1.34
کٹیا	جھولا	1.15
جانور	شخص	1.38
ماریجوانا	جڑی بوٹی	0.59
بستر	ہسپتال	1.35
گال	زبان	0.47
ڈسک	کمپیوٹر	0.44
وکر	زاویہ	1.51
گھاس	ماں	1.27
اسکول	قانون	1.49
پاؤں	سر	0.62
ماں	سرپرست	1.13
آرتھوڈونٹسٹ	دانتوں کا ڈاکٹر	1.47
شراب	شراب	1.19
منہ	دانت	1.39
ناشتہ	بیکن	1.46
باتھ روم	بیڈروم	1.73
پلیٹ	کٹورا	1.46
گوشت	بیکن	1.5
ہوا	ہیلیم	1.59
کارکن	آجر	1.4
جسم	سینے	1.45
بیٹا	باپ	1.75
دل	سرجری	1.07
عورت	سیکرٹری	1.6
آدمی	باپ	1.62
ساحل سمندر	جزیرہ	0.39
کہانی	موضوع	1.7
کھیل	مزہ	2.07
ہفتے کے آخر	ہفتے	1.57
جوڑے	جوڑی	1.5
عورت	بیوی	1.35
بھیڑ	مویشیوں	0.47
پرس	بیگ	1.39
چھت	گرجا گھر	1.57
بین	کافی	1.52
لکڑی	کاغذ	1.55
اوپر	طرف	1.29
جرم	دھوکہ	1.18
درد	نقصان	0.95
عاشق	ساتھی	0.8
شام	دوپہر	1.32
باپ	بیٹی	1.69
شراب	شراب	0.78
گائے	بکری	0.59
یقین	رائے	1.24
حقیقت	برم	1.36
معاہدہ	معاہدہ	1.2
دولت	غربت	1.47
حادثہ	ایمرجنسی	0.49
جنگ	فتح	0.89
دوست	استاد	1.29
بیماری	انفیکشن	1.28
کھیل	چال	1.02
بھائی	بیٹا	1.61
چاچی	بھتیجے	1.31
کارکن	میکینک	1.2
ڈاکٹر	آرتھوڈونٹسٹ	1.25
اوک	میپل	0.39
مکھی	ملکہ	1.2
کار	سائیکل	1.68
مقصد	تلاش	1.31
اگست	مہینے	1.54
فوج	ٹیم	1.61
بادل	موسم	0.94
ڈاکٹر	ڈاکٹر	1.5
کینیا	وادی	1.39
دریا	وادی	1.23
سورج	آسمان	1.67
ہدف	تیر	1.74
چاکلیٹ	پائی	1.79
حالات	صورت حال	1.31
رائے	انتخاب	1.5
تال	مہودی	1.27
گٹ	اعصابی	1.65
دن	ڈان کی	1.45
مویشیوں	گوشت	1.53
ڈاکٹر	پروفیسر	1.19
بازو	رگ	1.62
کمرے	غسل	0.49
کارپوریشن	کاروبار	1.44
مزہ	فٹ بال	1.43
پہاڑی	کلف	1.26
ہڈی	ٹخن	0.69
سیب	کینڈی	0.75
مددگار	نوکرانی	0.44
رہنما	مینیجر	1.43
لیموں	چائے	1.33
مکھی	اینٹی	1.04
باسکٹ بال	بیس بال	0.93
چاول	بین	1.27
بستر	فرنیچر	0.84
جذبات	جذبہ	1.3
انتشار	افراتفری	1.35
جرم	خلاف ورزی	0.87
مشین	انجن	1.95
ساحل سمندر	سمندر	1.08
گلی	کٹورا	0.51
جار	بوتل	1.44
طاقت	صلاحیت	1.33
بیج	سرواں	0.59
گٹار	ڈھول	1.72
رائے	خیال	1.29
شمال	مغرب	1.6
غذا	ترکاریاں	1.6
ماں	بیوی	1.62
والد صاحب	ماں	1.44
کپتان	نااخت	1.43
میٹر	یارڈ	1.32
بیئر	شیمپین	1.2
موٹر	کشتی	1.45
کارڈ	پل	1.69
سائنس	نفسیات	1.91
گنہگار	سنت	1.39
تباہی	تعمیراتی	1.69
بھیڑ	گروپ	1.37
ساحل سمندر	ریف	1.85
آدمی	بچہ	1.34
روٹی	پنیر	1.52
چیمپئن	فاتح	1.15
جشن	تقریب	0.61
مینو	آرڈر	1.42
بادشاہ	شہزادی	1.7
دولت	وقار	1.55
برداشت	طاقت	0.59
خطرہ	خطرہ	1.56
خدا	پادری	1.2
مردوں	برادری	1.11
دوست	ساتھی	1.64
استاد	مددگار	1.65
جسم	پیٹ	1.15
زبان	حلق	1.31
گھر	قالین	1.44
انٹیلی جنس	مہارت	1.29
سفر	فتح	1.12
خدا	شکار	1.73
بھائی	روح	1.18
مخالف	مخالف	1.4
موت	تباہی	1.46
راکشس	راکشس	1.5
دن	صبح	1.95
آدمی	فاتح	1.67
دوست	لڑکے	1.49
نغمہ	کہانی	1.27
کرن	دھوپ	1.55
لڑکے	جڑنا	1.7
چکن	چاول	1.47
ڈبہ	لفٹ	1.28
مکھن	آلو	1.19
اپارٹمنٹ	فرنیچر	1.72
جھیل	دلدل	1.6
ترکاریاں	سرکہ	1.65
پھول	بلب	1.27
بادل	دوبد	1.43
ڈرائیور	پائلٹ	1.52
شکر	شہد	1.07
جسم	کندھے	1.47
خیال	تصویر	1.47
باپ	بھائی	1.28
چاند	سیارے	1.57
گیند	کپڑے	1.02
ریل	باڑ	1.17
کمرے	بستر	1.31
پھول	بش	1.66
ہڈی	گھٹنے	1.64
بازو	گھٹنے	0.59
نیچے	طرف	1.51
برتن	رگ	1.55
کیٹ	خرگوش	1.67
گوشت	سینڈوچ	1.69
یقین	تصور	1.44
انٹیلی جنس	بصیرت	1.59
توجہ	دلچسپی	1.21
رویہ	اعتماد	1.22
دائیں	انصاف	1.52
دلیل	معاہدہ	1.36
گہرائی	شدت	1.64
درمیانی	خبریں	1.3
فاتح	امیدوار	1.29
سالگرہ	تاریخ	1.2
فیس	ادائیگی	1.56
بائبل	حمد	1.08
باہر نکلیں	دروازے	1.73
آدمی	بھیجا	1.22
گلیارے	ہال	0.96
شراب	گن	1.14
خون	میرو	1.17
تیل	منک	1.53
فرش	ڈیک	1.06
چھت	فرش	1.66
دروازہ	فرش	0.39
کندھے	سر	1.14
وگن	گاڑی	1.84
کار	گاڑی	1.2
کہنی	ٹخن	1.48
دولت	شہرت	1.1
غم	شرمندگی	1.52
انتظامیہ	انتظام	1.67
مواصلات	بات چیت	0.88
آلودگی	ماحول	0.98
اناتومی	حیاتیات	1.37
کالج	پیشہ	1.41
کتاب	موضوع	1.22
فارمولہ	مساوات	0.56
کتاب	معلومات	1.13
لڑکا	شراکت دار	1.54
آسمان	کائنات	1.39
آبادی	لوگ	0.8
کالج	کلاس	1.16
چیف	میئر	1.25
ربیبی	وزیر	1.35
میٹر	انچ	1.19
پالئیےسٹر	کپاس	1.53
وکیل	بینکر	1.18
وایلن	آلے	1.39
کیمپ	کیبن	1.2
برتن	آلات	1.26
کپڑے	کپڑے	1.26
شراب	شیمپین	1.29
لڑکی	بچہ	1.21
کاٹیج	کیبن	1.47
پرندہ	ین	1.43
ریکیٹ	شور	1.49
غروب آفتاب	شام	1.35
بہاؤ	بارش	0.39
بالغ	بچه	0.39
چارکول	کوئلہ	1.43
جسم	ریڑھائی	1.22
سر	کیل	1.4
لاگ ان	لکڑی	1.12
چمچ	کپ	0.9
جسم	اعصابی	1.12
آدمی	شوہر	1.71
ہڈی	گردن	1.05
مایوسی	غصہ	0.39
دریا	سمندر	0.39
کام	ملازمت	1.75
کلب	سماج	1.59
عکس	تصویر	1.06
شہزادہ	بادشاہ	1.05
برف	موسم	1.36
لوگ	پارٹی	1.42
لڑکا	بھائی	1.58
جڑ	گھاس	1.35
برو	آنکھ	1.41
پیسہ	موتی	1.94
پیسہ	ہیرے	1.37
گاڑی	بس	1.38
ٹیکسی	بس	1.64
گھر	بنو	1.6
انگلی	کھجور	1.5
کار	پل	1.2
کوشش	مشکل	1.22
حقیقت	بصیرت	1.11
ملازمت	انتظام	1.33
کینسر	بیماری	1.57
لفظ	اخبار	0.94
موسیقار	مصنف	0.8
اداکار	گلوکار	1.26
پناہ گاہ	ہٹ	1.59
باتھ روم	باورچی خانه	1.22
کیبن	ہٹ	1.37
دروازہ	باورچی خانه	0.44
قدر	یقین	0.95
حکمت	انٹیلی جنس	1.33
جہالت	انٹیلی جنس	1.3
خوشی	قسمت	1.2
خیال	سکیم	1.47
موڈ	جذبات	1.64
خوشی	امن	1.35
نا امید	مصیبت	1.06
منطق	ریاضی	1.81
انکار	اقرار	1.64
دلیل	تنقید	1.07
جارحیت	دشمنیت	0.44
ہیسٹریا	الجھن	0.44
کیمسٹری	نظریہ	1.4
آزمائش	فیصلے	1.18
آرام	حفاظت	1.21
اعتماد	خود	1.24
اولین مقصد	خیال	1.31
دور	دہائی	1.02
جیونی	فکشن	1.24
بحث	دلیل	1.43
کوڈ	علامت	1.67
خطرہ	بیماری	0.44
حادثہ	تباہی	1.63
سفر	سفر	1.14
سرگرمی	تحریک	1.1
گپ شپ	خبریں	1.21
باپ	خدا	1.31
عمل	کورس	1.75
بخار	بیماری	1.54
ایوی ایشن	پرواز	1.83
کھیل	عمل	1.12
انو	ہوا	1.84
گھر	حالت	1.6
لفظ	ادب	0.59
بالغ	سرپرست	1.19
اخبار	معلومات	1.31
مواصلات	ٹیلی ویژن	1.27
کزن	چاچا	1.84
مصنف	ریڈر	1.47
لڑکے	شراکت دار	1.24
رقبہ	کونے	1.41
بلڈاد	نغمہ	0.84
دیوار	سجاوٹ	0.89
لفظ	صفحہ	0.99
نرس	سائنسدان	1.06
سیاست دان	صدر	1.05
صدر	میئر	1.4
کتاب	مضمون نویسی	1.3
آدمی	جنگجو	1.03
مضمون	جرنل	1.45
ناشتہ	کھانا	1.47
بھیڑ	پریڈ	1.05
گلیارے	دالان	1.36
استاد	ربیبی	1.12
ہپ	ہپ	1.45
کتاب	مضمون	0.95
کمرے	سیل	1.28
ڈبہ	بوٹ	1.38
بیٹی	بچہ	1.24
انگلی	ٹانگ	1.23
جگر	پھیپھڑوں	1.38
کلاس روم	دالان	1.23
پہاڑ	قیادت	1.21
کار	لفٹ	1.19
بستر	سوفی	1.85
کپڑے	بٹن	1.44
کپڑے	کوٹ	1.37
گردہ	عضو	0.95
سیب	چٹنی	2.11
چکن	سٹیک	1.39
کار	نلی	0.78
تمباکو	سگریٹ	1.49
طالب علم	پروفیسر	1.13
بچه	بیٹی	1.29
پائپ	سگریٹ	1.01
دودھ	رس	1.46
ڈبہ	سگریٹ	1.89
اپارٹمنٹ	ہوٹل	1.18
کپ	شنک	1.13
گھوڑے	بیل	1.18
حلق	ناک	1.12
ہڈی	دانت	1.92
ہڈی	کہنی	1.58
بیکن	بین	0.92
کپ	جار	1.17
ثبوت	حقیقت	1.7
تقرری	مصروفیت	1.59
سالگرہ	سال	1.69
لفظ	اشارہ	1.65
مصنف	خالق	1.5
ایٹم	کاربن	0.93
آرکائشی	بش	1.59
خط	پیراگراف	1.12
صفحہ	پیراگراف	1.37
کھڑی	چیپل	1.03
پٹھوں	ہڈی	1.68
پٹھوں	زبان	1.65
لڑکا	فوجی	1.51
پیٹ	پیٹ	1.53
لڑکے	لڑکی	1.9
بستر	کرسی	1.26
کپڑے	جیکٹ	0.74
بندوق	چاقو	1.03
ٹن	دھاتی	1.15
بوتل	کنٹینر	1.38
ین	ترکی	1.6
گوشت	روٹی	1.62
بازو	ہڈی	1.94
گردن	ریڑھائی	1.16
سیب	لیموں	1.58
پریشانی	غم	1.94
تفویض	کام	1.37
رات	ڈان کی	1.53
رات کا کھانا	سوپ	1.89
بچہ	بیل	1.67
برف	طوفان	0.88
کیل	ہاتھ	1.14
کتا	گھوڑے	1.39
بازو	گردن	0.72
گیند	دستانے	1.27
فلو	بخار	1.58
فیس	تنخواہ	1.26
اعصابی	دماغ	1.74
جانور	جانور	1.64
رات کا کھانا	چکن	1.5
لڑکی	نوکرانی	0.9
بچہ	لڑکا	1.82
شراب	شراب	1.53
ناک	منہ	1.5
سڑک	کار	1.16
گھنٹی	دروازہ	1.46
ڈبہ	ٹوپی	1.15
یقین	تاثر	0.72
تعصب	رائے	1.16
توجہ	شعور	1.64
غصہ	موڈ	1.87
خوبصورتی	انداز	1.76
خوبصورتی	عمر	1.54
کتاب	خیالیہ	0.81
دوست	ماں	1.54
وٹامن	لوہے	1.14
کار	فیکٹری	1.43
معاہدہ	حالت	1.59
باب	انتخاب	0.86
ریاضی	تال	2.08
فاتح	موجودگی	1.12
یقین	پھول	1.19
فاتح	مقصد	1.67
چال	سائز	0.59
انتخاب	رگ	1.11
حمد	فتح	0.88
برداشت	بینڈ	0.44
جیل	انتخاب	1.08
حالت	لڑکا	0.8
پھول	برداشت	1.7
سوراخ	معاہدہ	1.72
ڈاکٹر	مزاج	1.44
برادری	دروازہ	0.94
کام	عورت	0.34
برادری	بیس بال	0.98
سینٹ	سائز	1.24
موجودگی	دروازہ	0.83
ماؤس	انتظام	1.59
کام	ہائی وے	1.34
شراب	صدی	1.31
کام	اسٹرک	1.53
جزیرہ	کام	0.96
رات	باب	0.92
آلودگی	صدر	1.6
بندوق	چال	1.41
غسل	چال	1.28
غذا	سیب	1.56
سینٹ	بیوی	1.7
باب	دم	1.57
کورس	پیٹ	0.87
حمد	اسٹرک	1.64
دانتوں کا ڈاکٹر	کالونی	1.7
بیوی	اسٹرک	1.53
سوراخ	بیوی	1.18
طالب علم	صدر	1.28
غسل	بیوی	1.42
لوگ	سینٹ	1.61
فارمولہ	لاگ ان	1.51
عورت	فر	0.99
سیب	دھوپ	1.2
بندوق	ڈان کی	1.57
کھانا	کمر	1.58
کیمرے	صدر	1.56
شراب	بینڈ	0.91
پیٹ	رگ	1.2
بندوق	فر	1.8
سوفی	بیس بال	1.32
کارکن	کیمرے	1.21
ڈیک	ماؤس	1.48
چاول	لڑکا	1.72
لوگ	بندوق	1.47
کلف	دم	1.57
ٹخن	ونڈو	1.8
شہزادی	جزیرہ	1.36
کنٹینر	ماؤس	0.95
وگن	کنٹینر	0.85
لوگ	بیلون	1.96
ڈالر	لوگ	1.42
غسل	بیلون	1.41
پیٹ	بیڈروم	0.97
سائیکل	بیڈروم	1.47
لاگ ان	غسل	1.63
کٹورا	دم	1.0
جاؤ	آو	1.51
لے لو	چوری	1.69
سننا	سننا	1.72
سوچنا	منطقی	1.13
واقع	ہو	1.34
غائب	غائب ہو	0.46
ضرب	تقسیم	1.32
درخواست	بھگوان	1.26
شروع	ابتداء	0.75
حفاظت	دفاع	1.29
قتل کرو	تباہ	1.93
بنانا	بناؤ	1.14
قبول	رد	1.28
نظر انداز	پرہیز	1.22
لے لو	لانے	1.24
چھوڑ	درج	1.91
منتخب	چننا	1.14
کھو	ناکام	1.79
حوصلہ افزائی	دل شکستہ	1.55
حاصل	پورا	0.94
بناؤ	تعمیر	0.85
سننا	اطاعت	1.33
مطلع	مطلع	0.44
وصول	دے	1.19
قرض	مانگنا	1.89
لے لو	حاصل	1.01
مشورہ	تجویز	1.6
نقل	بیان	1.13
جیت	کامیاب	1.83
سوچنا	فیصلہ	1.4
سلام	ملیں	1.73
متفق	بحث	1.68
لطف اندوز	تفریح	1.27
تباہ	بناؤ	1.72
بچاؤ	حفاظت	0.44
دے دو	قرض دو	0.93
سمجھو	پتہ	1.26
لے لو	وصول کریں	0.48
قبول کرو	تسلیم کرتے ہیں	1.63
فیصلہ کرنا	منتخب کریں	1.26
قبول کرو	یقین	1.61
رکھو	مالک	0.8
روام	گھومنا	0.89
کامیاب	ناکام	1.44
خرچ کرو	بچاؤ	1.06
چھوڑ دو	جاؤ	1.49
آو	حاضری	1.6
پتہ	یقین	1.18
جمع	ملیں	0.59
بناؤ	کماتے	1.92
بھول جاؤ	نظر انداز	1.25
ضرب	شامل	1.8
سکڑیں	بڑھو	1.2
آو	چھوڑ دو	1.48
کامیاب	کوشش	1.35
قبول کرو	انکار	1.41
آو	آو	1.56
متفق ہوں	مختلف	1.53
بھیجیں	وصول	1.53
جیت	غلبہ	1.74
شامل	تقسیم	1.25
قتل	گلا گھونٹنا	1.48
حاصل	حاصل	0.94
حصہ لیں	شامل	1.69
چھوڑ دو	رہیں	1.36
جاؤ	درج	1.43
لے لو	لے لو	0.44
بھول جاؤ	سیکھنا	1.65
مقرر کریں	چننا	1.51
مشغول	شادی کرو	1.12
پوچھو	دعا کرو	1.63
جاؤ	بھیجیں	0.77
لے لو	فراہم کرو	1.16
بات کرو	سننا	0.76
تجزیہ کریں	اندازہ	0.49
بحث کریں	منطقی	1.21
کھو	رکھو	1.57
موازنہ کریں	تجزیہ کریں	0.84
غیر منظم	منظم	1.3
جاؤ	اجازت دیں	1.53
لے لو	مالک	1.14
سیکھنا	سننا	1.65
تباہ	تعمیر	1.78
بنانا	تعمیر کرو	1.14
چوری	خریدنے	0.95
قتل کرو	پھانسی	1.43
بھول جاؤ	پتہ	1.6
بنانا	تصور	1.7
کیا	ہو	1.02
جیت	پورا	0.8
دے دو	انکار	1.36
مستحق	کماتے ہیں	0.62
حاصل کرو	ڈالیں	1.33
تلاش کریں	مل	1.54
ظاہر	حاضری	1.47
پتہ	سمجھو	1.39
دکھاؤ	تصور	1.63
مطمئن	براہ کرم	1.74
چیری	رکھو	1.78
بحث کریں	مختلف	1.22
پر قابو پانے	غلبہ	1.58
سلوک کرنا	اطاعت کرو	1.24
تعاون کریں	حصہ لیں	1.5
حاصل کریں	کوشش کریں	1.14
ناکام	ہراساں کرنا	1.2
شروع کرو	چھوڑ دو	1.53
کہہ دو	حصہ لیں	1.3
آو	لانے	1.03
اعلان کریں	اعلان کریں	1.56
پڑھو	سمجھو	1.75
لے لو	چھوڑ دو	0.8
اعلان کرو	اعلان کریں	1.58
حاصل	حاصل کریں	1.96
اختتام کریں	فیصلہ کرنا	1.17
براہ کرم	درخواست	1.18
بحث کریں	ثابت کرو	0.62
پوچھو	درخواست	1.62
مل	غائب ہو	1.04
معائنہ	جانچ پڑتال کریں	1.39
تصدیق کریں	مستحق	1.11
فرض کرو	پیش گوئی	1.02
سیکھنا	اندازہ	0.88
بحث کریں	مستحق	1.13
بناؤ	بن	0.82
دریافت	ابتداء	1.33
حاصل کریں	کامیاب	1.29
دے دو	ڈالیں	1.47
سمجھو	سننا	1.66
توسیع	بڑھو	1.28
قرض لے	فروخت	1.21
رکھو	حفاظت کرو	1.26
وضاحت کریں	ثابت کرو	1.29
فرض کرو	دکھاؤ	1.15
متفق ہوں	براہ کرم	1.7
معاف کر دو	بھول جاؤ	1.5
واضح	وضاحت کریں	1.74
سمجھو	معاف کر دو	1.32
یاد رکھیں	بھول جاؤ	1.56
حاصل کرو	رہیں	1.68
احساس	دریافت	0.59
ضرورت ہے	پوچھ گچھ	1.06
نظر انداز	پوچھو	1.27
سوچنا	پوچھ گچھ	1.23
رد کرنا	سے بچیں	1.36
بحث کریں	رضاکارانہ	1.7
پیچھا کرنا	رضاکارانہ	1.39
قبول کرو	معاف کر دو	1.75
کیا	چھوڑ دو	1.81
تحقیقات	جانچ پڑتال کریں	1.31
بحث کریں	وضاحت کریں	1.53
الوداع	قرض دو	0.82
تلاش کریں	دریافت	1.33
شکایت	بحث کریں	0.9
واپس لے لو	رد کرنا	1.97
رکھو	قرض لے	1.29
بھگوان	پوچھو	1.58
بندوبست کریں	منظم	1.1
کم	سکڑیں	1.82
بات کرو	تسلیم کرتے ہیں	1.47
دے دو	قرض لے	1.63
